algorithm,timing,ranks,repeat,core_seconds,face_pipeline_seconds,face_exchange_seconds,vertex_wait_seconds,compute_imbalance,element_imbalance,volume_elements_sum,face_payload_receive_bytes,predicted_actual_correlation,compute_wait_correlation,cut_before,cut_after,partition_moves
balance,natural,1024,1,20.17867698300006,0.9745652819999577,0.6999728400001004,,1.2969786816775413,1.5382336711381377,2408699904,4971395352,0.5239374137046924,,10873,11416,1605
balance,natural,1024,2,20.18344610999975,1.0104897080000228,0.7369660210001712,,1.3057606129350148,1.5382336711381377,2408699904,4971395352,0.5234578793892638,,10873,11416,1605
balance,natural,1024,3,20.14237378100006,1.0198445080000056,0.743666444000155,,1.3057096744906838,1.5382336711381377,2408699904,4971395352,0.5241925908475039,,10873,11416,1605
balance,natural,1024,4,20.20808894899983,1.0089510359998712,0.740349628000331,,1.2988305718225477,1.5382336711381377,2408699904,4971395352,0.521725136754766,,10873,11416,1605
balance,natural,1024,5,20.323663330000272,0.9755556949999118,0.7013498430001164,,1.3062944223946598,1.5382336711381377,2408699904,4971395352,0.51980024633555,,10873,11416,1605
balance,split,1024,1,20.335399150000057,1.0760331509998196,0.7332790630000545,6.250329900999986,1.2934310758324827,1.5382336711381377,2408699904,4971395352,0.5223742906415735,-0.9864041651539545,10873,11416,1605
balance,split,1024,2,20.351676228000088,1.0123222629999873,0.7015023400003884,6.393569880999621,1.3054672036604045,1.5382336711381377,2408699904,4971395352,0.5241877337314313,-0.987682198316656,10873,11416,1605
balance,split,1024,3,20.185707356999956,0.9989232289999563,0.7041877510000631,6.306108221000159,1.2982272923226894,1.5382336711381377,2408699904,4971395352,0.5187362941189377,-0.9874862971439456,10873,11416,1605
balance,split,1024,4,20.317589116000363,1.0162506759997996,0.7023970749996806,6.197176724000201,1.2908155520888254,1.5382336711381377,2408699904,4971395352,0.5259502475913063,-0.9876568903212607,10873,11416,1605
balance,split,1024,5,20.254002937999758,1.0232593259997884,0.7002238260001832,6.412460916999862,1.2977497585506497,1.5382336711381377,2408699904,4971395352,0.5244915657624017,-0.9885220101024808,10873,11416,1605
baseline,natural,1024,1,20.543566659000135,1.0040586299999177,0.7290564869999798,,1.3351663645770981,1.5627617242158485,2413166080,4971395352,0.6461668383118037,,10873,10873,0
baseline,natural,1024,2,20.73415991999991,0.9887086680000721,0.7165749600003437,,1.3422319899147959,1.5627617242158485,2413166080,4971395352,0.6470726762485782,,10873,10873,0
baseline,natural,1024,3,20.5289601759996,0.990563612999722,0.7156739820002258,,1.3391624083468034,1.5627617242158485,2413166080,4971395352,0.6443425100226905,,10873,10873,0
baseline,natural,1024,4,20.486079144000087,0.9881835500000307,0.7188213909998922,,1.3395710796390898,1.5627617242158485,2413166080,4971395352,0.6469036329087934,,10873,10873,0
baseline,natural,1024,5,20.394949328000166,0.9726632030001383,0.6969374670002253,,1.3474728716607258,1.5627617242158485,2413166080,4971395352,0.6500162102143321,,10873,10873,0
baseline,split,1024,1,20.255888856999945,1.0038863920001404,0.7090277989998413,7.047232753000117,1.345873379594483,1.5627617242158485,2413166080,4971395352,0.6471333574542398,-0.9887865297251706,10873,10873,0
baseline,split,1024,2,20.581894623000153,0.9910270639998089,0.6883647609997752,7.238922133999949,1.3534210889824745,1.5627617242158485,2413166080,4971395352,0.6464856543052631,-0.9892261674167806,10873,10873,0
baseline,split,1024,3,20.388923708999755,1.000768149999658,0.6977425569998559,7.141749916999743,1.3446282439494783,1.5627617242158485,2413166080,4971395352,0.6526106364537801,-0.9886758040141782,10873,10873,0
baseline,split,1024,4,20.77612714499992,1.0496926979999444,0.7166952180000408,7.271101825999722,1.3436246049711267,1.5627617242158485,2413166080,4971395352,0.6479769471578611,-0.9881261247328437,10873,10873,0
baseline,split,1024,5,20.57062283799999,0.9946082370000084,0.6919158299999992,7.272946977000004,1.3565022286966106,1.5627617242158485,2413166080,4971395352,0.6493022348799203,-0.9891890069729277,10873,10873,0
combined,natural,1024,1,20.038911325000072,0.4462117830000807,0.23877040400020633,,1.3132009349767235,1.5382336711381377,2408699904,22004584,0.5274424052904537,,10873,11416,1605
combined,natural,1024,2,20.04685138900004,0.4676302919997397,0.22975178799924834,,1.3146436087608342,1.5382336711381377,2408699904,22004584,0.5215116776367252,,10873,11416,1605
combined,natural,1024,3,19.97653155800026,0.4401994800000466,0.22921184000006178,,1.315316958624278,1.5382336711381377,2408699904,22004584,0.5204662476508274,,10873,11416,1605
combined,natural,1024,4,20.090242319000026,0.5033553670000401,0.2346789160001208,,1.3014612989947882,1.5382336711381377,2408699904,22004584,0.5255885785870115,,10873,11416,1605
combined,natural,1024,5,19.829368390000127,0.46611658200026795,0.2473266579995652,,1.2980348137460622,1.5382336711381377,2408699904,22004584,0.5221901207934333,,10873,11416,1605
combined,split,1024,1,20.022170297999992,0.5395011959999465,0.27610723300017526,6.353145380999877,1.304027809289136,1.5382336711381377,2408699904,22004584,0.5237740361991737,-0.99999968758876,10873,11416,1605
combined,split,1024,2,19.7985043220001,0.5547693369999251,0.2955558670000755,6.055590931000097,1.2989612642220247,1.5382336711381377,2408699904,22004584,0.5183179710515141,-0.9999994907505058,10873,11416,1605
combined,split,1024,3,19.94431190000023,0.43217460000005303,0.2273533110005701,6.300280047999877,1.3061422279473287,1.5382336711381377,2408699904,22004584,0.5239975849146403,-0.9999999502659761,10873,11416,1605
combined,split,1024,4,20.09076611499995,0.43728263699995296,0.23048235499982184,6.183747487999881,1.3051172389668741,1.5382336711381377,2408699904,22004584,0.5272222505992927,-0.9999999422732659,10873,11416,1605
combined,split,1024,5,20.090877282999827,0.43831003600007534,0.23024151699974027,6.248979591000079,1.3121625903766898,1.5382336711381377,2408699904,22004584,0.5269189753102069,-0.9999992117902929,10873,11416,1605
sparse,natural,1024,1,20.31438455700004,0.5273830679998355,0.25830379599983644,,1.351736436994918,1.5627617242158485,2413166080,21260960,0.6505125270606638,,10873,10873,0
sparse,natural,1024,2,20.047170867000204,0.43242450900015683,0.23031555500028844,,1.3483065343063079,1.5627617242158485,2413166080,21260960,0.6519723401357209,,10873,10873,0
sparse,natural,1024,3,20.18864749500017,0.5224283500001548,0.2637135899999521,,1.3470781132502194,1.5627617242158485,2413166080,21260960,0.6485070293864219,,10873,10873,0
sparse,natural,1024,4,20.397900345999915,0.5076286909998089,0.2646657810000761,,1.3528272049056336,1.5627617242158485,2413166080,21260960,0.6452667714914009,,10873,10873,0
sparse,natural,1024,5,20.238275771999724,0.5071399680000468,0.2656936539997332,,1.3503235346766238,1.5627617242158485,2413166080,21260960,0.6478121060674988,,10873,10873,0
sparse,split,1024,1,20.43646709199993,0.5554438590002064,0.29959361800001716,7.286776192999923,1.3685153294676269,1.5627617242158485,2413166080,21260960,0.6502910245592363,-0.9999998533363222,10873,10873,0
sparse,split,1024,2,20.209275385999717,0.5240268450002077,0.2418237719998615,7.127465476999987,1.3503900182113961,1.5627617242158485,2413166080,21260960,0.6482268353872456,-0.9999998035859485,10873,10873,0
sparse,split,1024,3,20.494216764000157,0.6053992189999917,0.3196843500004434,7.2996853449999435,1.362931575706389,1.5627617242158485,2413166080,21260960,0.646732372382507,-0.9999808581476896,10873,10873,0
sparse,split,1024,4,20.281238132,0.44536075099995287,0.2407028090001404,7.3276587199998175,1.3601298575982157,1.5627617242158485,2413166080,21260960,0.6481340921600819,-0.9999999519819252,10873,10873,0
sparse,split,1024,5,20.07227371199997,0.45271471099977134,0.23767539100026625,7.1210708650000925,1.34566330420742,1.5627617242158485,2413166080,21260960,0.6514864040394489,-0.9999999538416917,10873,10873,0
balance,natural,2048,1,16.22685413699992,1.7980612720000408,1.524214430000029,,1.3548574061498615,1.6171578699544105,2568338944,9947650328,0.37270773854519834,,14861,15604,1901
balance,natural,2048,2,16.324531918000048,1.7965061290001358,1.529279399999723,,1.3497043544514864,1.6171578699544105,2568338944,9947650328,0.36928637358957633,,14861,15604,1901
balance,natural,2048,3,16.50501322199989,1.826569728999857,1.551758714999778,,1.3538582423400023,1.6171578699544105,2568338944,9947650328,0.3718158466610093,,14861,15604,1901
balance,natural,2048,4,16.32361001399977,1.7993076430002475,1.5306001320000178,,1.3482502739298534,1.6171578699544105,2568338944,9947650328,0.37211583526837055,,14861,15604,1901
balance,natural,2048,5,16.189859621999858,1.799587947999953,1.5271163029997297,,1.353571470113834,1.6171578699544105,2568338944,9947650328,0.36967051945643425,,14861,15604,1901
balance,split,2048,1,16.584748054999864,1.832069046000015,1.520877043000155,5.61159555800009,1.3551846601726525,1.6171578699544105,2568338944,9947650328,0.36815282788013315,-0.8145908289940725,14861,15604,1901
balance,split,2048,2,16.37876061199995,1.8364178460001312,1.5342082090000986,5.404993857000136,1.354469289694819,1.6171578699544105,2568338944,9947650328,0.3705556287004213,-0.807525695427377,14861,15604,1901
balance,split,2048,3,16.534334832999775,1.8209631280001304,1.5126921010000842,5.685103725000317,1.3487991715291614,1.6171578699544105,2568338944,9947650328,0.3672643932182483,-0.8129594680579598,14861,15604,1901
balance,split,2048,4,16.33152984399976,1.79637078199994,1.5037403159999485,5.306635515999915,1.3599421142296848,1.6171578699544105,2568338944,9947650328,0.36662735491239273,-0.8138184452714907,14861,15604,1901
balance,split,2048,5,16.33320687000014,1.8234795609996581,1.5057805050000752,5.31754892500021,1.3516739931014607,1.6171578699544105,2568338944,9947650328,0.3690152030004973,-0.8148123427811427,14861,15604,1901
baseline,natural,2048,1,15.842182524000009,1.8074162820000765,1.5340376670001206,,1.2940043323874997,1.55136143553302,2552900608,9947650328,0.4167234302989801,,14861,14861,0
baseline,natural,2048,2,15.71176794899975,1.7968130940002993,1.5266131429998495,,1.2961239536134896,1.55136143553302,2552900608,9947650328,0.41336609205842184,,14861,14861,0
baseline,natural,2048,3,15.762921056999858,1.7801174410001295,1.5105763990000014,,1.3010579695663518,1.55136143553302,2552900608,9947650328,0.41706571998005265,,14861,14861,0
baseline,natural,2048,4,15.792601180999554,1.792713910999737,1.522131833000003,,1.301594473252507,1.55136143553302,2552900608,9947650328,0.4178141636487686,,14861,14861,0
baseline,natural,2048,5,15.84816309100006,1.7966762070000186,1.5290022690001024,,1.3033861058046985,1.55136143553302,2552900608,9947650328,0.4164428102148005,,14861,14861,0
baseline,split,2048,1,15.802814681999962,1.8298840949998976,1.5193059619998621,5.506557222000083,1.2957543029832503,1.55136143553302,2552900608,9947650328,0.4183798090886442,-0.8118211957847327,14861,14861,0
baseline,split,2048,2,15.723859442999583,1.8074314020000202,1.5176603780000733,5.36336598600019,1.2984025049093049,1.55136143553302,2552900608,9947650328,0.4185503463393603,-0.8126438161591338,14861,14861,0
baseline,split,2048,3,15.752439378999952,1.8315276329999506,1.5187709860001632,5.862773536000077,1.2998775280860206,1.55136143553302,2552900608,9947650328,0.415447501097496,-0.8115218745298295,14861,14861,0
baseline,split,2048,4,15.92089503499983,1.858032003000062,1.5164200140002322,5.5842713270003514,1.3008264382137145,1.55136143553302,2552900608,9947650328,0.4188353397891308,-0.8125089215015843,14861,14861,0
baseline,split,2048,5,15.704372385999704,1.7970937129998674,1.508444002000033,5.592461754999931,1.2927131853959077,1.55136143553302,2552900608,9947650328,0.4202268807760668,-0.8131071376398888,14861,14861,0
combined,natural,2048,1,15.829646180000054,0.46330435699996997,0.26243003500007944,,1.3547774750311736,1.6171578699544105,2568338944,29318912,0.36852896972349247,,14861,15604,1901
combined,natural,2048,2,15.729477730000326,0.4535771130003923,0.25103320300013365,,1.3519297310373704,1.6171578699544105,2568338944,29318912,0.3677679403205171,,14861,15604,1901
combined,natural,2048,3,15.90082805999964,0.5339913350003371,0.26045818900001905,,1.3549176898037614,1.6171578699544105,2568338944,29318912,0.3683730700081177,,14861,15604,1901
combined,natural,2048,4,15.920398305999697,0.4505403190000834,0.24901146000001972,,1.3607966150840407,1.6171578699544105,2568338944,29318912,0.3670129645355983,,14861,15604,1901
combined,natural,2048,5,15.676086917000248,0.473388204999992,0.2563677660000394,,1.344479494493541,1.6171578699544105,2568338944,29318912,0.3686477650536111,,14861,15604,1901
combined,split,2048,1,15.850896726999963,0.5145550019999519,0.26404376599998614,5.033404976999918,1.35198967321926,1.6171578699544105,2568338944,29318912,0.36807355916882933,-0.9999997121594704,14861,15604,1901
combined,split,2048,2,16.073049643000104,0.5980427889999191,0.29295068999999785,5.083062115999837,1.359339756133306,1.6171578699544105,2568338944,29318912,0.3698503922076933,-0.9999988428798565,14861,15604,1901
combined,split,2048,3,15.984637227000349,0.4631085159999202,0.2542324800001552,5.008767488000103,1.3629137003983778,1.6171578699544105,2568338944,29318912,0.36848717251239166,-0.9999998181305008,14861,15604,1901
