algorithm,timing,ranks,successful_repeats,core_median,core_cv,face_pipeline_seconds_median,face_exchange_seconds_median,vertex_wait_seconds_median,compute_imbalance_median,element_imbalance_median,volume_elements_sum_median,face_payload_receive_bytes_median,predicted_actual_correlation_median,compute_wait_correlation_median,cut_before_median,cut_after_median,partition_moves_median,speedup_vs_baseline
balance,natural,1024,5,20.18344610999975,0.003423634989292608,1.0089510359998712,0.7369660210001712,,1.3057096744906838,1.5382336711381377,2408699904,4971395352,0.5234578793892638,,10873,11416,1605,1.017118685486948
balance,natural,2048,5,16.32361001399977,0.0074882029740632305,1.7993076430002475,1.529279399999723,,1.353571470113834,1.6171578699544105,2568338944,9947650328,0.3718158466610093,,14861,15604,1901,0.9674698897765384
balance,natural,4096,5,15.671427387999756,0.007253132313807312,3.0936622279998574,2.811023600000226,,1.4088460346552023,1.8895403639384596,2820190208,19900160280,0.1851507889630818,,20315,21330,2539,0.978865888167056
balance,natural,8192,5,18.7663455039999,0.004626619604993876,6.66488818699986,6.389201462999836,,1.4412683888217264,2.1635061817114876,3231747072,39805180184,0.12497633716163864,,27897,28402,2204,0.9828022663266442
balance,split,1024,5,20.317589116000363,0.0033783577822474996,1.0162506759997996,0.7023970749996806,6.306108221000159,1.2977497585506497,1.5382336711381377,2408699904,4971395352,0.5241877337314313,-0.9876568903212607,10873,11416,1605,1.0124539245554662
balance,split,2048,5,16.37876061199995,0.007232005215364199,1.8234795609996581,1.5126921010000842,5.404993857000136,1.354469289694819,1.6171578699544105,2568338944,9947650328,0.36815282788013315,-0.8138184452714907,14861,15604,1901,0.9617601570816584
balance,split,4096,5,15.877506894999897,0.009419526043419967,3.132047744999909,2.7896456210000906,6.7796513450000475,1.4080244262120778,1.8895403639384596,2820190208,19900160280,0.1860421430214751,-0.5150794321969858,20315,21330,2539,0.9840614973324703
balance,split,8192,5,18.864339971999925,0.004473991679075693,6.755393271000003,6.3884149729999535,12.118340379000074,1.4403942817442226,2.1635061817114876,3231747072,39805180184,0.12486268244603901,-0.2753116652160796,27897,28402,2204,0.9821018243680346
baseline,natural,1024,5,20.5289601759996,0.006049768480875652,0.9887086680000721,0.7165749600003437,,1.3395710796390898,1.5627617242158485,2413166080,4971395352,0.6469036329087934,,10873,10873,0,1.0
baseline,natural,2048,5,15.792601180999554,0.00360377519567593,1.7966762070000186,1.5266131429998495,,1.3010579695663518,1.55136143553302,2552900608,9947650328,0.4167234302989801,,14861,14861,0,1.0
