algorithm,timing,ranks,repeat,core_seconds,face_pipeline_seconds,face_exchange_seconds,vertex_wait_seconds,compute_imbalance,element_imbalance,volume_elements_sum,face_payload_receive_bytes,predicted_actual_correlation,compute_wait_correlation,cut_before,cut_after,partition_moves
balance,natural,8192,1,18.7663455039999,6.66488818699986,6.389201462999836,,1.4386983385279757,2.1635061817114876,3231747072,39805180184,0.12408877894079429,,27897,28402,2204
balance,natural,8192,2,18.63861622200011,6.671363764000034,6.397229860999687,,1.4412683888217264,2.1635061817114876,3231747072,39805180184,0.12577514439053983,,27897,28402,2204
balance,natural,8192,3,18.71954749800034,6.573201851000249,6.298767818000215,,1.4479171008111433,2.1635061817114876,3231747072,39805180184,0.12497633716163864,,27897,28402,2204
balance,natural,8192,4,18.87717875999988,6.679826864000006,6.40384995300019,,1.43863387647167,2.1635061817114876,3231747072,39805180184,0.12472548918832708,,27897,28402,2204
balance,natural,8192,5,18.771087918999996,6.635631842999999,6.357827025999995,,1.4585046761899658,2.1635061817114876,3231747072,39805180184,0.1254668630376824,,27897,28402,2204
balance,split,8192,1,18.809996649999903,6.75816517599992,6.419334354000057,12.118340379000074,1.4403942817442226,2.1635061817114876,3231747072,39805180184,0.12475407778705387,-0.2732374613754859,27897,28402,2204
balance,split,8192,2,18.864339971999925,6.726279031000104,6.344422862000101,12.091607625000051,1.4336071116557074,2.1635061817114876,3231747072,39805180184,0.12486268244603901,-0.2808415184391885,27897,28402,2204
balance,split,8192,3,18.941450623000037,6.803367226999853,6.454467284999737,12.127848037000149,1.4314736657465663,2.1635061817114876,3231747072,39805180184,0.12369218499887408,-0.2738971616390044,27897,28402,2204
balance,split,8192,4,18.71517964199984,6.5701523100001396,6.245257102000323,12.04109119199984,1.442054144254024,2.1635061817114876,3231747072,39805180184,0.12614204185670624,-0.2828561859961422,27897,28402,2204
balance,split,8192,5,18.872539313999994,6.755393271000003,6.3884149729999535,12.25234171599999,1.4466759624675065,2.1635061817114876,3231747072,39805180184,0.12514838287628527,-0.2753116652160796,27897,28402,2204
baseline,natural,8192,1,18.443606891999934,6.584367119000035,6.3021796059999815,,1.5180705738440816,2.4651436516174496,3225937920,39805180184,0.16236376347524223,,27897,27897,0
baseline,natural,8192,2,18.291269160999946,6.55609922099984,6.280249929999627,,1.5151184837772023,2.4651436516174496,3225937920,39805180184,0.16202416741258271,,27897,27897,0
baseline,natural,8192,3,18.40071407100004,6.6836190039998655,6.395180912000342,,1.5218680485706246,2.4651436516174496,3225937920,39805180184,0.1625383459586319,,27897,27897,0
baseline,natural,8192,4,18.47000219199981,6.691430991999823,6.415417461000288,,1.523802559354555,2.4651436516174496,3225937920,39805180184,0.16339299936249846,,27897,27897,0
baseline,natural,8192,5,18.45655736799995,6.633001009999987,6.358351352999989,,1.5142088857168328,2.4651436516174496,3225937920,39805180184,0.16258406813757204,,27897,27897,0
baseline,split,8192,1,18.456149456000276,6.664755553999839,6.306187141000009,10.898261959000138,1.5146178628310338,2.4651436516174496,3225937920,39805180184,0.1635179941462192,-0.2803045971857489,27897,27897,0
baseline,split,8192,2,18.608065291000003,6.775925305000328,6.3868183199997475,11.03648406100001,1.5089477883253364,2.4651436516174496,3225937920,39805180184,0.16260088199935835,-0.2786693863928041,27897,27897,0
baseline,split,8192,3,18.3801001920001,6.6359438059998865,6.336631218000093,10.919237406999855,1.5171059677676482,2.4651436516174496,3225937920,39805180184,0.16406733949383923,-0.27852132146147024,27897,27897,0
baseline,split,8192,4,18.636928792999697,6.771747297000275,6.413881465000031,10.971686044000307,1.523949802796482,2.4651436516174496,3225937920,39805180184,0.16170630721881016,-0.2751024278447138,27897,27897,0
baseline,split,8192,5,18.526702701999966,6.577571914000032,6.251675662000025,10.960219875000007,1.5139092063424862,2.4651436516174496,3225937920,39805180184,0.16206904614233808,-0.2858826183463696,27897,27897,0
combined,natural,8192,1,12.994876360000035,0.6175728059999983,0.3426246560002255,,1.4439756199060994,2.1635061817114876,3231747072,67358592,0.12673904782534723,,27897,28402,2204
combined,natural,8192,2,12.992100533000212,0.601600430000417,0.35387744000036037,,1.437272468594459,2.1635061817114876,3231747072,67358592,0.12399143072255832,,27897,28402,2204
combined,natural,8192,3,12.991677425000034,0.6277311499998177,0.329020192000371,,1.4381497393220066,2.1635061817114876,3231747072,67358592,0.12479673389108058,,27897,28402,2204
combined,natural,8192,4,12.982754036999722,0.6104142930003036,0.31597994399953677,,1.4390903171669853,2.1635061817114876,3231747072,67358592,0.12433971929231319,,27897,28402,2204
combined,natural,8192,5,12.999959710999974,0.6607598129999701,0.3367538820000391,,1.4327636604333005,2.1635061817114876,3231747072,67358592,0.124063442830343,,27897,28402,2204
combined,split,8192,1,13.03230042000041,0.6252760630000012,0.3205587399993419,6.423175436000292,1.4340740247633663,2.1635061817114876,3231747072,67358592,0.12389397334614667,-0.9999995501732428,27897,28402,2204
combined,split,8192,2,13.024286706999646,0.624526226999933,0.3205156089998127,6.612655881000137,1.4384181631444595,2.1635061817114876,3231747072,67358592,0.12261009323105213,-0.99999952145749,27897,28402,2204
combined,split,8192,3,13.051930751999862,0.6490834470000664,0.3255181240001548,6.607280459000322,1.4337695162736679,2.1635061817114876,3231747072,67358592,0.12422561548588797,-0.9999992154733909,27897,28402,2204
combined,split,8192,4,13.160270271999991,0.683702212,0.33387545099999727,6.619027578000001,1.443123316612339,2.1635061817114876,3231747072,67358592,0.12306901893405704,-0.9999990618176055,27897,28402,2204
combined,split,8192,5,13.205046064000044,0.6844723980000254,0.3478579610000452,6.495050902999992,1.4429081095478817,2.1635061817114876,3231747072,67358592,0.12338989710671266,-0.9999988878366747,27897,28402,2204
sparse,natural,8192,1,13.109000843999866,0.5779603250000491,0.3105765819998396,,1.5192377135823913,2.4651436516174496,3225937920,65856952,0.16172330887147704,,27897,27897,0
sparse,natural,8192,2,13.240185624999867,0.6112618049996854,0.34615884499999083,,1.51546149298886,2.4651436516174496,3225937920,65856952,0.16257866958023381,,27897,27897,0
sparse,natural,8192,3,13.056131151000045,0.5342394330000388,0.32166013099958946,,1.5090794468461266,2.4651436516174496,3225937920,65856952,0.16349696526374927,,27897,27897,0
sparse,natural,8192,4,13.272524666999743,0.6367112769999039,0.345779427999787,,1.51589865423258,2.4651436516174496,3225937920,65856952,0.1643752524391153,,27897,27897,0
sparse,natural,8192,5,13.208285740999997,0.6394069329999752,0.34412915200002203,,1.5117345999488507,2.4651436516174496,3225937920,65856952,0.16420532801277482,,27897,27897,0
sparse,split,8192,1,13.31578463400001,0.6607226749997608,0.33961204800016276,6.162699230000271,1.5251018215625123,2.4651436516174496,3225937920,65856952,0.16305127223658777,-0.9999984050085091,27897,27897,0
sparse,split,8192,2,13.400332826000067,0.7444094390002647,0.3476177600000483,5.9722195129998,1.510915962467561,2.4651436516174496,3225937920,65856952,0.16288693985963695,-0.9999843934608752,27897,27897,0
sparse,split,8192,3,13.374981347999892,0.6530721320000339,0.3257844790005038,5.951185943999917,1.5150637397431166,2.4651436516174496,3225937920,65856952,0.1624122072902155,-0.9999959178192818,27897,27897,0
sparse,split,8192,4,13.701082860000042,0.5940237290001278,0.3049216360000173,6.023931404999985,1.5212991838999053,2.4651436516174496,3225937920,65856952,0.16344335127796625,-0.9999995324437129,27897,27897,0
sparse,split,8192,5,13.328152240000009,0.651137091999999,0.3361288259999924,6.128234267000039,1.5185896648867692,2.4651436516174496,3225937920,65856952,0.16267255393331057,-0.9999968000139612,27897,27897,0
