实验结果总览 / Experiment result overview
========================================================
状态: 完整，可分析
有效正式运行: 80 / 80
异常项: 0

优先查看：
1. 本文件：快速判断实验是否完整及主要指标。
2. analysis/summary.csv：论文分析用的重复实验中位数。
3. analysis/issues.txt：仅在异常项不为 0 时查看。
4. repeat_*/run.log.gz：只在排查某次失败时查看。

核心汇总（时间单位 s，通信量单位 GiB）：
algorithm timing ranks repeats core face_exchange vertex_wait imbalance recv_GiB speedup
baseline natural 1024 5 20.648 0.714 - 1.342 4.630 1.000
baseline natural 2048 5 15.745 1.518 - 1.293 9.264 1.000
baseline natural 4096 5 15.366 2.791 - 1.540 18.533 1.000
baseline natural 8192 5 18.448 6.338 - 1.664 37.071 1.000
baseline split 1024 5 20.711 0.712 7.455 1.342 4.630 1.000
baseline split 2048 5 15.825 1.499 4.866 1.288 9.264 1.000
baseline split 4096 5 15.618 2.791 6.589 1.533 18.533 1.000
baseline split 8192 5 18.567 6.363 11.060 1.667 37.071 1.000
sparse natural 1024 5 20.119 0.256 - 1.345 0.020 1.026
sparse natural 2048 5 14.937 0.245 - 1.288 0.026 1.054
sparse natural 4096 5 14.225 0.358 - 1.536 0.038 1.080
sparse natural 8192 5 13.018 0.471 - 1.670 0.061 1.417
sparse split 1024 5 20.274 0.241 7.186 1.340 0.020 1.022
sparse split 2048 5 15.055 0.240 4.276 1.293 0.026 1.051
sparse split 4096 5 14.285 0.318 5.804 1.535 0.038 1.093
sparse split 8192 5 13.128 0.489 6.539 1.666 0.061 1.414
