algorithm,timing,ranks,repeat,core_seconds,face_pipeline_seconds,face_exchange_seconds,vertex_wait_seconds,compute_imbalance,element_imbalance,volume_elements_sum,face_payload_receive_bytes,predicted_actual_correlation,compute_wait_correlation,cut_before,cut_after,partition_moves,compute_max_seconds,compute_mean_seconds,vertex_wait_mean_seconds,face_completion_spread,vertex_arrival_spread,post_face_compute_max_seconds,face_completion_wait_correlation,partition_adopted,partition_proposed_moves,closure_total_before,closure_total_after,closure_max_before,closure_max_after,candidate_closure_total,candidate_closure_max,seed_max_seconds,candidate_max_seconds,partition_rejection_flags,metis_partition_seconds,partition_cost_setup_seconds,partition_cost_balance_seconds,phase_0_max_seconds,phase_0_prediction_wape,phase_1_max_seconds,phase_1_prediction_wape,phase_2_max_seconds,phase_2_prediction_wape,phase_3_max_seconds,phase_3_prediction_wape
baseline,natural,1024,1,20.44440916199983,0.9714425619999929,0.6995001350001075,,1.341671158292609,1.5627617242158485,2413166080,4971395352,0.6472862146978174,,10873,10873,0,14.39468269400004,10.728920126984395,,0.618016832000194,7.2725974869999845,14.395708947000003,,0,0,0,0,0,0,0,0,0,0,0,1.6758589350001785,0.3830588790001457,0.03188925099993867,0.039647226000397495,,10.868894243999875,,4.102554881000287,,0.12557826200009004,
baseline,natural,1024,2,20.874008373999914,0.9873221269999704,0.7141012080001019,,1.3478184017906867,1.5627617242158485,2413166080,4971395352,0.6491533729046957,,10873,10873,0,14.475189267999667,10.739717790444319,,0.5799832150000839,7.557393285000217,14.476027796999915,,0,0,0,0,0,0,0,0,0,0,0,1.7529230570003165,0.39491208400022515,0.03150280699992436,0.05225439100013318,,11.301836184999956,,4.1082203500000105,,0.13747988099976283,
baseline,natural,1024,3,20.418685517000085,0.9639120140000159,0.6885696889999053,,1.3411671266856984,1.5627617242158485,2413166080,4971395352,0.6481977371876593,,10873,10873,0,14.400222111999028,10.737082519749018,,0.5582464610001807,7.348084437000125,14.401139664999846,,0,0,0,0,0,0,0,0,0,0,0,1.737287044000368,0.39606919800007745,0.031466786000237335,0.04961402500020995,,10.96653874499998,,4.145072176999747,,0.13875688999996783,
baseline,natural,1024,4,20.64790557499964,0.9866084329996738,0.7156084380003449,,1.3395604446197833,1.5627617242158485,2413166080,4971395352,0.6489391674731629,,10873,10873,0,14.372189557999718,10.729034001955078,,0.6037557640001978,7.232465825999498,14.37313450900001,,0,0,0,0,0,0,0,0,0,0,0,1.676966388999972,0.3875778139999966,0.03149728599964874,0.04099757200037857,,10.863842030000342,,4.093336795000141,,0.13024957600055131,
baseline,natural,1024,5,20.70901804999994,1.0342008200000237,0.762124551999932,,1.3615571575152234,1.5627617242158485,2413166080,4971395352,0.6455471706609007,,10873,10873,0,14.618123046000164,10.736327127593775,,0.6038224240001,7.442541018000156,14.61907447800013,,0,0,0,0,0,0,0,0,0,0,0,1.7476914429998942,0.3948587000004409,0.0318767509997997,0.06172622099984437,,11.200684728000397,,4.158974707000198,,0.12473280699987299,
baseline,split,1024,1,20.599691291,1.0204258690000643,0.7041085079999903,7.386732189999748,1.3423356014105174,1.5627617242158485,2413166080,4971395352,0.6420322255462315,-0.9889259110518502,10873,10873,0,14.412136927999654,10.736612299379884,3.800848402820309,0.604994901000282,7.386517602000367,14.413051298000028,-0.21132362261273827,0,0,0,0,0,0,0,0,0,0,0,1.749888976999955,0.38949231699962183,0.032376936999753525,0.04977311899983761,,10.92520662700008,,4.081771285999821,,0.12846150199993644,
baseline,split,1024,2,20.75184497600003,1.063820530999692,0.7148513530000855,7.455364963000193,1.3404432875769006,1.5627617242158485,2413166080,4971395352,0.644674000672551,-0.988391334337218,10873,10873,0,14.382292993000192,10.729505027399442,3.9575873543320235,0.6302074730006098,7.455492724000123,14.383209423000153,-0.2166013062734004,0,0,0,0,0,0,0,0,0,0,0,1.6926255609996588,0.38327822099972764,0.030902719000096113,0.050443063999864535,,11.126336554999853,,4.1118482729998505,,0.13575360600043496,
baseline,split,1024,3,20.710578898999756,1.0345418719998634,0.7121307010002056,7.512764628000241,1.3469508562327386,1.5627617242158485,2413166080,4971395352,0.6475272492578604,-0.9885470425889266,10873,10873,0,14.453358057000514,10.730427164525393,3.900748715741206,0.6187856669994289,7.512495778999892,14.45422214600012,-0.20574885425049674,0,0,0,0,0,0,0,0,0,0,0,1.7364563179999095,0.38903693100019154,0.032505698000022676,0.04624615300008372,,11.04947438399995,,4.104760803999852,,0.14600568900050348,
baseline,split,1024,4,20.723938267999984,1.02871346000029,0.7136796550003055,7.48578611100038,1.3527065785292067,1.5627617242158485,2413166080,4971395352,0.644423822428003,-0.989002436521152,10873,10873,0,14.511609019000389,10.72783207336717,3.969943263733398,0.6017148310002085,7.485582642999816,14.512723871999697,-0.21122662454575833,0,0,0,0,0,0,0,0,0,0,0,1.7157274820001476,0.3882904829997642,0.032210954999754904,0.03848647099994196,,11.140810813999906,,4.158483208000234,,0.13756897000030222,
baseline,split,1024,5,20.447088838000127,1.0352238600003147,0.7033890359998622,7.2291652019998764,1.3342150618492847,1.5627617242158485,2413166080,4971395352,0.6469398640306606,-0.9892427762623981,10873,10873,0,14.32114198300087,10.73375829167383,3.685177273231448,0.6126235769997948,7.2289896829997815,14.322003492000022,-0.21286735460594738,0,0,0,0,0,0,0,0,0,0,0,1.7170032700000775,0.38573146799990354,0.0315224070000113,0.04123580800023774,,10.834499109999797,,4.1510823179996805,,0.16291023399980986,
sparse,natural,1024,1,20.118592291999903,0.5122082060001958,0.26357486699998844,,1.3473943284320635,1.5627617242158485,2413166080,21260960,0.6440213449208557,,10873,10873,0,14.404771892000554,10.690836073774413,,0.017771093000192195,7.104542264000429,14.405544362,,0,0,0,0,0,0,0,0,0,0,0,1.718344419999994,0.3878960179999922,0.030855678000079934,0.027246120999734558,,11.024345862000246,,4.155407944999752,,0.12238361000026998,
sparse,natural,1024,2,20.28351445899989,0.5584144109998306,0.2970607059996837,,1.3416651590193536,1.5627617242158485,2413166080,21260960,0.6491492611825418,,10873,10873,0,14.348943338000026,10.694876617715794,,0.021048922999852948,7.085686150000129,14.350171272000352,,0,0,0,0,0,0,0,0,0,0,0,1.702384553000229,0.3930626410001423,0.030816718000096444,0.04661322900028608,,10.904369146000136,,4.176480416000231,,0.12241347799999858,
sparse,natural,1024,3,20.300126283999816,0.4633823960002701,0.20773097800019968,,1.3498590522380054,1.5627617242158485,2413166080,21260960,0.6451919441107078,,10873,10873,0,14.421663434999573,10.68382910874221,,0.0014827609998064872,7.223367988000518,14.422479724000368,,0,0,0,0,0,0,0,0,0,0,0,1.7535524879999684,0.39249077400017995,0.03146106600024723,0.027568299999984447,,10.936358347999885,,4.159834312000385,,0.12054121899973325,
sparse,natural,1024,4,19.957098433999818,0.3986646660000588,0.19714694099911867,,1.335349542533874,1.5627617242158485,2413166080,21260960,0.6451691049381116,,10873,10873,0,14.275653057,10.690573967555665,,0.0029478570004357607,7.018567794000319,14.27642654500005,,0,0,0,0,0,0,0,0,0,0,0,1.6944528069998341,0.39481156200008627,0.03151982599956682,0.02794200100015587,,10.930149537000034,,4.141417955000179,,0.12077004999991914,
sparse,natural,1024,5,20.11104409299969,0.4792578870001307,0.25556322399961573,,1.3450547896438365,1.5627617242158485,2413166080,21260960,0.6440725996682795,,10873,10873,0,14.376082527999188,10.688101807217755,,0.014335242000015569,7.144885564000106,14.376906899000005,,0,0,0,0,0,0,0,0,0,0,0,1.701201738999771,0.3858848909999324,0.03130874299995412,0.026833531000193034,,10.988128347999918,,4.150463857999966,,0.12113320899970859,
sparse,split,1024,1,20.351425663999635,0.40888023899969994,0.20608373899995058,7.18569214099989,1.3373059147767172,1.5627617242158485,2413166080,21260960,0.6444126579237501,-0.9999999579264663,10873,10873,0,14.288833224999962,10.684790269087902,3.6038514202548844,0.0014662440003121446,7.185634762000063,14.289699394999843,-0.015158614940429338,0,0,0,0,0,0,0,0,0,0,0,1.686196093000035,0.38802820000000793,0.030896439000116516,0.02697202199988169,,10.931206296000255,,4.097739972999989,,0.1257292629998119,
sparse,split,1024,2,20.12985498900025,0.47355736999998044,0.2210525380000945,7.198197622999942,1.3397483813796585,1.5627617242158485,2413166080,21260960,0.6452799928469511,-0.9999962259413775,10873,10873,0,14.322184043999641,10.69020440185254,3.631946064110355,0.010325342000214732,7.198131920999913,14.323020312999688,0.019685849450721483,0,0,0,0,0,0,0,0,0,0,0,1.731086489000063,0.38754953399984515,0.032245275000150286,0.0333725030000096,,10.857421742000042,,4.178061824999986,,0.12781049000022904,
sparse,split,1024,3,20.120532935999563,0.5382971889998771,0.24319491100004598,7.141937418999987,1.339819036214435,1.5627617242158485,2413166080,21260960,0.6451259740598615,-0.9999998470606641,10873,10873,0,14.318334778999997,10.686767684280296,3.6318316568935654,0.020234035000157746,7.141853806000199,14.319677773000421,0.028839905497653386,0,0,0,0,0,0,0,0,0,0,0,1.7014308079997136,0.38733471100022143,0.03134844399983194,0.028000576999602345,,10.992153061999943,,4.11576315900038,,0.11239268500003163,
sparse,split,1024,4,20.30842530000018,0.5629034079997837,0.2837907620005353,7.124845435000225,1.3452829313026835,1.5627617242158485,2413166080,21260960,0.6434245810043614,-0.9999999452929356,10873,10873,0,14.384831012000177,10.692792331848628,3.692511975622064,0.002235259000372025,7.124743887000022,14.385626981999849,-0.08815242138670638,0,0,0,0,0,0,0,0,0,0,0,1.778523898000003,0.3895176369996989,0.03200411299985717,0.026876621999690542,,10.916211894999833,,4.150584417000118,,0.1348712889998751,
sparse,split,1024,5,20.2736743749997,0.5036378350000632,0.24131052899974748,7.308339383999737,1.3611443471556093,1.5627617242158485,2413166080,21260960,0.6460165130840809,-0.9999994000035183,10873,10873,0,14.548475793000307,10.688415099693383,3.8605098724296787,0.02016560699985348,7.308205082999848,14.549756347999846,0.04022395245689457,0,0,0,0,0,0,0,0,0,0,0,1.7129749660002744,0.39211474700005056,0.03170290900015971,0.036694879000606306,,11.190815951999866,,4.163989953000055,,0.11331014100005632,
baseline,natural,2048,1,15.744727753999996,1.7876492949999374,1.5137246650001543,,1.2890564580958503,1.55136143553302,2552900608,9947650328,0.42599971279584986,,14861,14861,0,10.516004207000151,8.157908166826168,,1.4318382719998226,4.817955322999751,10.516873738999948,,0,0,0,0,0,0,0,0,0,0,0,2.104488224000306,0.39506118399958723,0.03170437800008585,0.038983518999884836,,8.833973233000052,,2.1443545880001693,,0.0862971970000217,
baseline,natural,2048,2,15.665409495999938,1.7940785430000687,1.5213413179999407,,1.2928143901420759,1.55136143553302,2552900608,9947650328,0.42753683283781574,,14861,14861,0,10.547943764000138,8.158900337457533,,1.430086838999614,4.8228257659998235,10.548802916000113,,0,0,0,0,0,0,0,0,0,0,0,2.112524883000333,0.38714813399974446,0.031793339000159904,0.03845506200013915,,8.865583294999851,,2.1488263799997185,,0.11100537799984522,
baseline,natural,2048,3,15.876682837999851,1.8296310850000737,1.5557806760002677,,1.2958455017332848,1.55136143553302,2552900608,9947650328,0.426028828740077,,14861,14861,0,10.571069573999466,8.157661974255353,,1.4477818190002836,4.877408041999843,10.572129546999804,,0,0,0,0,0,0,0,0,0,0,0,2.1157377979998273,0.38896269199995004,0.031226092999986577,0.05943169400006809,,8.890126516999771,,2.2456601060002868,,0.10264248700013923,
