algorithm,timing,ranks,repeat,stage,mean_seconds,max_seconds,calls_sum
baseline,natural,1024,1,adjacency_build,0.009101776298834352,0.015852426000037667,1024
baseline,natural,1024,1,element_count_allgather,0.0025917690537116123,0.005720197000300686,1024
baseline,natural,1024,1,face_allgatherv,0.3845547389072337,0.6995001350001075,1024
baseline,natural,1024,1,face_collective_setup,0.000182071595701494,0.0008235699997385382,1024
baseline,natural,1024,1,face_global_merge,0.08858032279882,0.0970209590000195,1024
baseline,natural,1024,1,face_local_extract,0.17483707307227236,0.18693849900000714,1024
baseline,natural,1024,1,face_map_setup,0.008246085859365593,0.009997972000292066,1024
baseline,natural,1024,1,face_pipeline_total,0.6617899303984291,0.9714425619999929,1024
baseline,natural,1024,1,local_volume_mesh,7.608282160441405,10.868894243999875,1024
baseline,natural,1024,1,metis_partition,1.6754430888330134,1.6758589350001785,1024
baseline,natural,1024,1,metis_seed,0.0012239420439450477,1.2533166529997288,1
baseline,natural,1024,1,part_face_create,0.02364807127930213,0.028030230999775085,1024
baseline,natural,1024,1,partition_cost_balance,3.1141846679627605e-05,0.03188925099993867,1
baseline,natural,1024,1,partition_cost_setup,0.00037408093652357977,0.3830588790001457,1
baseline,natural,1024,1,partition_distribution,1.6736692983535093,1.6757142930000555,1024
baseline,natural,1024,1,submesh_initialization,0.000132148749018679,0.00029454399964379263,1024
baseline,natural,1024,1,surface_refine,0.010271139003903862,0.012892309000108071,1024
baseline,natural,1024,1,vertex_count_allgather,3.738777103221681,7.272964929999944,1024
baseline,natural,1024,1,vertex_exchange,0.018989042497080888,0.03793242600022495,1024
baseline,natural,1024,1,vertex_exchange_prepare,0.00036138917675332394,0.0010900349998337333,1024
baseline,natural,1024,1,vertex_exchange_unpack,0.0096935821025399,0.032789192000109324,1024
baseline,natural,1024,1,vertex_numbering_local,0.05929326856347927,0.11061404300016875,1024
baseline,natural,1024,1,volume_exchange_pack,0.9552996788896468,1.6251052970001183,1024
baseline,natural,1024,1,volume_exchange_unpack,1.0091135388691432,1.7521135849997336,1024
baseline,natural,1024,1,volume_payload_exchange,0.05238661969823166,0.08904451100033839,1024
baseline,natural,1024,1,volume_payload_prepare,0.006467107621100698,0.04787477200034118,1024
baseline,natural,1024,1,volume_refine,3.018323711397471,4.102554881000287,1024
baseline,natural,1024,1,volume_size_exchange,0.7051007059511729,1.115189038999688,1024
baseline,natural,1024,2,adjacency_build,0.008981894967766912,0.03135342799987484,1024
baseline,natural,1024,2,element_count_allgather,0.003568633393558951,0.005387659999996686,1024
baseline,natural,1024,2,face_allgatherv,0.4247025326787184,0.7141012080001019,1024
baseline,natural,1024,2,face_collective_setup,0.0001815513496064014,0.0010000309998758894,1024
baseline,natural,1024,2,face_global_merge,0.08868840603516626,0.11078654699986146,1024
baseline,natural,1024,2,face_local_extract,0.17489463011815598,0.2035010390000025,1024
baseline,natural,1024,2,face_map_setup,0.008215479142583693,0.02942449000011038,1024
baseline,natural,1024,2,face_pipeline_total,0.7020793832089782,0.9873221269999704,1024
baseline,natural,1024,2,local_volume_mesh,7.615134174098627,11.301836184999956,1024
baseline,natural,1024,2,metis_partition,1.7221376967812536,1.7529230570003165,1024
baseline,natural,1024,2,metis_seed,0.0012443004775390953,1.2741636890000336,1
baseline,natural,1024,2,part_face_create,0.023681208809576137,0.04020429000001968,1024
baseline,natural,1024,2,partition_cost_balance,3.076445996086363e-05,0.03150280699992436,1
baseline,natural,1024,2,partition_cost_setup,0.00038565633203146987,0.39491208400022515,1
baseline,natural,1024,2,partition_distribution,1.7203458167343721,1.7527833150002152,1024
baseline,natural,1024,2,submesh_initialization,0.00013084643554694964,0.0003207629997632466,1024
baseline,natural,1024,2,surface_refine,0.01029169819531317,0.021777715000098397,1024
baseline,natural,1024,2,vertex_count_allgather,4.031944055768543,7.557661927999561,1024
baseline,natural,1024,2,vertex_exchange,0.01913437806445062,0.036977450999984285,1024
baseline,natural,1024,2,vertex_exchange_prepare,0.00034723835546612847,0.0012302160002946039,1024
baseline,natural,1024,2,vertex_exchange_unpack,0.009626305927742163,0.03337852699996802,1024
baseline,natural,1024,2,vertex_numbering_local,0.058720969633784925,0.12323251699990578,1024
baseline,natural,1024,2,volume_exchange_pack,0.9549197050664056,1.558636148000005,1024
baseline,natural,1024,2,volume_exchange_unpack,1.0059126581523512,1.8700106870001036,1024
baseline,natural,1024,2,volume_payload_exchange,0.05210751214160503,0.08720650799978102,1024
baseline,natural,1024,2,volume_payload_prepare,0.006381301070315093,0.014784720000079687,1024
baseline,natural,1024,2,volume_refine,3.0229078447392497,4.1082203500000105,1024
baseline,natural,1024,2,volume_size_exchange,0.6453141852666024,1.0636736169999494,1024
baseline,natural,1024,3,adjacency_build,0.009002073052728043,0.018016716000147426,1024
baseline,natural,1024,3,element_count_allgather,0.0024024951347647594,0.006345338999835803,1024
baseline,natural,1024,3,face_allgatherv,0.3762907836826179,0.6885696889999053,1024
baseline,natural,1024,3,face_collective_setup,0.00018816785253461532,0.0009201110001413326,1024
baseline,natural,1024,3,face_global_merge,0.08858522260156576,0.1167229560001033,1024
baseline,natural,1024,3,face_local_extract,0.1747155147050785,0.20416138300015518,1024
baseline,natural,1024,3,face_map_setup,0.008189971610350621,0.009817051000027277,1024
baseline,natural,1024,3,face_pipeline_total,0.6533211545830069,0.9639120140000159,1024
baseline,natural,1024,3,local_volume_mesh,7.610406722170899,10.96653874499998,1024
baseline,natural,1024,3,metis_partition,1.6977349508183601,1.737287044000368,1024
baseline,natural,1024,3,metis_seed,0.0012309580283202948,1.2605010209999818,1
baseline,natural,1024,3,part_face_create,0.023652345569336042,0.03011984200020379,1024
baseline,natural,1024,3,partition_cost_balance,3.072928320335677e-05,0.031466786000237335,1
baseline,natural,1024,3,partition_cost_setup,0.00038678632617195063,0.39606919800007745,1
baseline,natural,1024,3,partition_distribution,1.6959540602255818,1.7371926629998597,1024
baseline,natural,1024,3,submesh_initialization,0.00013266959668722933,0.0003015440001945535,1024
baseline,natural,1024,3,surface_refine,0.01028284487792952,0.02463134000026912,1024
baseline,natural,1024,3,vertex_count_allgather,3.786397885890638,7.3484508989999995,1024
baseline,natural,1024,3,vertex_exchange,0.019076974022465887,0.0376690600000984,1024
baseline,natural,1024,3,vertex_exchange_prepare,0.00036073261132330003,0.001177556000129698,1024
baseline,natural,1024,3,vertex_exchange_unpack,0.009717209042966246,0.034503549999953975,1024
baseline,natural,1024,3,vertex_numbering_local,0.05892791846777401,0.12657261699996525,1024
baseline,natural,1024,3,volume_exchange_pack,0.9543542203877022,1.4992059399996833,1024
baseline,natural,1024,3,volume_exchange_unpack,1.0077859147822372,1.8143035359998976,1024
baseline,natural,1024,3,volume_payload_exchange,0.05237580847556966,0.08990915699996549,1024
baseline,natural,1024,3,volume_payload_prepare,0.006241449152344369,0.014807861000008415,1024
baseline,natural,1024,3,volume_refine,3.024810615610351,4.145072176999747,1024
baseline,natural,1024,3,volume_size_exchange,0.5803824790449141,0.9922398730000168,1024
baseline,natural,1024,4,adjacency_build,0.008997355324228629,0.017704179999782355,1024
baseline,natural,1024,4,element_count_allgather,0.002197738405263827,0.006232118000298215,1024
baseline,natural,1024,4,face_allgatherv,0.3788457997568342,0.7156084380003449,1024
baseline,natural,1024,4,face_collective_setup,0.0001775712822333908,0.0008109319996947306,1024
baseline,natural,1024,4,face_global_merge,0.08858970431249213,0.09761484299997392,1024
baseline,natural,1024,4,face_local_extract,0.17484315898340386,0.222192325999913,1024
baseline,natural,1024,4,face_map_setup,0.008216857082030238,0.010279627999807417,1024
baseline,natural,1024,4,face_pipeline_total,0.6560403716748087,0.9866084329996738,1024
baseline,natural,1024,4,local_volume_mesh,7.609137269355463,10.863842030000342,1024
baseline,natural,1024,4,metis_partition,1.6762321851738213,1.676966388999972,1024
baseline,natural,1024,4,metis_seed,0.001220954390624751,1.250257295999745,1
baseline,natural,1024,4,part_face_create,0.023676529605463514,0.029420206999930087,1024
baseline,natural,1024,4,partition_cost_balance,3.075906835903197e-05,0.03149728599964874,1
baseline,natural,1024,4,partition_cost_setup,0.00037849395898437166,0.3875778139999966,1
baseline,natural,1024,4,partition_distribution,1.674468415484386,1.6768230469997434,1024
baseline,natural,1024,4,submesh_initialization,0.0001314869863278112,0.00026924299982056255,1024
baseline,natural,1024,4,surface_refine,0.010304270336906729,0.015279523000117479,1024
baseline,natural,1024,4,vertex_count_allgather,3.7505470452490246,7.232828031000281,1024
baseline,natural,1024,4,vertex_exchange,0.01920881989647727,0.03653048600017428,1024
baseline,natural,1024,4,vertex_exchange_prepare,0.00035584025194790314,0.0011191749999852618,1024
baseline,natural,1024,4,vertex_exchange_unpack,0.009632258613286648,0.029115560999798618,1024
baseline,natural,1024,4,vertex_numbering_local,0.058852570097660095,0.11299259400038864,1024
baseline,natural,1024,4,volume_exchange_pack,0.9548291907578097,1.706545566999921,1024
baseline,natural,1024,4,volume_exchange_unpack,1.0067864858681665,1.9226076710001507,1024
baseline,natural,1024,4,volume_payload_exchange,0.05238495637988683,0.08841160599968134,1024
baseline,natural,1024,4,volume_payload_prepare,0.006387628624995312,0.03041897200000676,1024
baseline,natural,1024,4,volume_refine,3.0180660072353573,4.093336795000141,1024
baseline,natural,1024,4,volume_size_exchange,0.7636678369023411,1.1443114129997412,1024
baseline,natural,1024,5,adjacency_build,0.008982573103516245,0.020754345000113972,1024
baseline,natural,1024,5,element_count_allgather,0.004164679515633818,0.00596729700009746,1024
baseline,natural,1024,5,face_allgatherv,0.4616507813701203,0.762124551999932,1024
baseline,natural,1024,5,face_collective_setup,0.00017386324415369359,0.0007848489999560115,1024
baseline,natural,1024,5,face_global_merge,0.08881318320898401,0.11615806600002543,1024
baseline,natural,1024,5,face_local_extract,0.17571754720507915,0.2208655239996915,1024
baseline,natural,1024,5,face_map_setup,0.00822909902440383,0.009806793999814545,1024
baseline,natural,1024,5,face_pipeline_total,0.7399640412509734,1.0342008200000237,1024
baseline,natural,1024,5,local_volume_mesh,7.6116831589423875,11.200684728000397,1024
baseline,natural,1024,5,metis_partition,1.692274972233402,1.7476914429998942,1024
baseline,natural,1024,5,metis_seed,0.0012230379208983955,1.252390830999957,1
