algorithm,timing,ranks,successful_repeats,core_median,core_cv,face_pipeline_seconds_median,face_exchange_seconds_median,vertex_wait_seconds_median,compute_imbalance_median,element_imbalance_median,volume_elements_sum_median,face_payload_receive_bytes_median,predicted_actual_correlation_median,compute_wait_correlation_median,cut_before_median,cut_after_median,partition_moves_median,compute_max_seconds_median,compute_mean_seconds_median,vertex_wait_mean_seconds_median,face_completion_spread_median,vertex_arrival_spread_median,post_face_compute_max_seconds_median,face_completion_wait_correlation_median,partition_adopted_median,partition_proposed_moves_median,closure_total_before_median,closure_total_after_median,closure_max_before_median,closure_max_after_median,candidate_closure_total_median,candidate_closure_max_median,seed_max_seconds_median,candidate_max_seconds_median,partition_rejection_flags_median,metis_partition_seconds_median,partition_cost_setup_seconds_median,partition_cost_balance_seconds_median,phase_0_max_seconds_median,phase_0_prediction_wape_median,phase_1_max_seconds_median,phase_1_prediction_wape_median,phase_2_max_seconds_median,phase_2_prediction_wape_median,phase_3_max_seconds_median,phase_3_prediction_wape_median,speedup_vs_baseline
baseline,natural,1024,5,20.64790557499964,0.009220493826962812,0.9866084329996738,0.7141012080001019,,1.341671158292609,1.5627617242158485,2413166080,4971395352,0.6481977371876593,,10873,10873,0,14.400222111999028,10.736327127593775,,0.6037557640001978,7.348084437000125,14.401139664999846,,0,0,0,0,0,0,0,0,0,0,0,1.737287044000368,0.3948587000004409,0.03150280699992436,0.04961402500020995,,10.96653874499998,,4.1082203500000105,,0.13024957600055131,,1.0
baseline,natural,2048,5,15.744727753999996,0.006291424172794198,1.7879355600002782,1.5176847930001713,,1.2928143901420759,1.55136143553302,2552900608,9947650328,0.42678971732767185,,14861,14861,0,10.547943764000138,8.157908166826168,,1.430086838999614,4.8228257659998235,10.548802916000113,,0,0,0,0,0,0,0,0,0,0,0,2.112524883000333,0.38896269199995004,0.031793339000159904,0.03845506200013915,,8.874468889999662,,2.1544176469997183,,0.09302259900005083,,1.0
baseline,natural,4096,5,15.365936793000401,0.007315848620577235,3.0701723060001314,2.7914993979998144,,1.5396226824291745,1.6539991294710623,2799585280,19900160280,0.18092849997287297,,20315,20315,0,9.913295233000099,6.439117274855707,,2.574331858000278,6.6052586509999855,9.91463887000009,,0,0,0,0,0,0,0,0,0,0,0,2.5443998900000224,0.3944437430000107,0.03269283200006612,0.06949603199973353,,9.018690578000133,,1.2527701169997272,,0.06736215999990236,,1.0
baseline,natural,8192,5,18.447630179000043,0.0077730854545059,6.619161435000024,6.337982733999979,,1.6639104476970175,2.4651436516174496,3225937920,39805180184,0.1063077252237519,,27897,27897,0,8.573242676999598,5.15014341008349,,6.142620537000312,11.077809809999962,8.574005968000165,,0,0,0,0,0,0,0,0,0,0,0,2.872583674999987,0.3898126089998186,0.033969533999879786,0.057488873999773205,,7.747288796999783,,0.8185041020001336,,0.054473198000323464,,1.0
baseline,split,1024,5,20.710578898999756,0.0060859537462540384,1.0345418719998634,0.7121307010002056,7.455364963000193,1.3423356014105174,1.5627617242158485,2413166080,4971395352,0.644674000672551,-0.9889259110518502,10873,10873,0,14.412136927999654,10.730427164525393,3.900748715741206,0.6126235769997948,7.455492724000123,14.413051298000028,-0.21132362261273827,0,0,0,0,0,0,0,0,0,0,0,1.7170032700000775,0.3882904829997642,0.032210954999754904,0.04624615300008372,,11.04947438399995,,4.1118482729998505,,0.13756897000030222,,1.0
baseline,split,2048,5,15.825445026000125,0.00571162673945111,1.7917769420000695,1.4986348540001018,4.865687353999874,1.2879351278783193,1.55136143553302,2552900608,9947650328,0.4262748210895791,-0.8043317864232116,14861,14861,0,10.506641768000463,8.158313129729983,2.51588878671533,1.439600201000303,4.865454768999825,10.5075096999999,-0.5720259379334522,0,0,0,0,0,0,0,0,0,0,0,2.099746488999699,0.3875312979998853,0.03218340400007946,0.03826914499995837,,8.860492439000154,,2.1451414050002313,,0.09431772300013108,,1.0
baseline,split,4096,5,15.618249503999778,0.0065962405727553255,3.1482097430002796,2.7910820609999973,6.588527066999632,1.5332142256561705,1.6539991294710623,2799585280,19900160280,0.18060560882487825,-0.7547887173011658,20315,20315,0,9.873036943999523,6.439437345928717,3.5933356981586897,2.6916643910003586,6.588111835000291,9.874276659000316,-0.8193390074746243,0,0,0,0,0,0,0,0,0,0,0,2.569894001999728,0.393803761000072,0.032395727000221086,0.05995282599951679,,9.0161642449998,,1.2754605489999449,,0.06892565299995113,,1.0
baseline,split,8192,5,18.56742098399991,0.005246344109589187,6.706776100999832,6.3626153469999736,11.060423377999996,1.6667912141862797,2.4651436516174496,3225937920,39805180184,0.10604960991998098,-0.5547937642507262,27897,27897,0,8.584171537000657,5.15056402521912,5.997238692290653,6.236119297999721,11.06012656699977,8.58494676600003,-0.8683336930203217,0,0,0,0,0,0,0,0,0,0,0,2.874392892999822,0.3871060790002048,0.034019714999885764,0.05695777699975224,,7.721406829999978,,0.8162133210003049,,0.055967925999993895,,1.0
sparse,natural,1024,5,20.118592291999903,0.007016835058471323,0.4792578870001307,0.25556322399961573,,1.3450547896438365,1.5627617242158485,2413166080,21260960,0.6451691049381116,,10873,10873,0,14.376082527999188,10.690573967555665,,0.014335242000015569,7.104542264000429,14.376906899000005,,0,0,0,0,0,0,0,0,0,0,0,1.702384553000229,0.39249077400017995,0.03130874299995412,0.027568299999984447,,10.936358347999885,,4.155407944999752,,0.12113320899970859,,1.0263096580176843
sparse,natural,2048,5,14.936940262000007,0.010255286425882264,0.4639928609999515,0.24458609300017997,,1.2879252153240277,1.55136143553302,2552900608,28109144,0.42687102379287245,,14861,14861,0,10.468152466999527,8.12866381076808,,0.010150888999760355,4.206114369000261,10.468812353999965,,0,0,0,0,0,0,0,0,0,0,0,2.11774434400013,0.3889575319999494,0.031850873999701435,0.022781064999890077,,8.787271738000072,,2.142908710000029,,0.07057778199987297,,1.0540798502123638
