algorithm	timing	repeat	exit_code	directory
baseline	natural	0	0	/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/mesh_algorithms_20260907-132958/p2048/baseline_natural/repeat_0
sparse	natural	0	0	/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/mesh_algorithms_20260907-132958/p2048/sparse_natural/repeat_0
baseline	split	0	0	/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/mesh_algorithms_20260907-132958/p2048/baseline_split/repeat_0
sparse	split	0	0	/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/mesh_algorithms_20260907-132958/p2048/sparse_split/repeat_0
sparse	natural	1	0	/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/mesh_algorithms_20260907-132958/p2048/sparse_natural/repeat_1
baseline	natural	1	0	/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/mesh_algorithms_20260907-132958/p2048/baseline_natural/repeat_1
sparse	split	1	0	/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/mesh_algorithms_20260907-132958/p2048/sparse_split/repeat_1
baseline	split	1	0	/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/mesh_algorithms_20260907-132958/p2048/baseline_split/repeat_1
baseline	natural	2	0	/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/mesh_algorithms_20260907-132958/p2048/baseline_natural/repeat_2
sparse	natural	2	0	/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/mesh_algorithms_20260907-132958/p2048/sparse_natural/repeat_2
baseline	split	2	0	/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/mesh_algorithms_20260907-132958/p2048/baseline_split/repeat_2
sparse	split	2	0	/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/mesh_algorithms_20260907-132958/p2048/sparse_split/repeat_2
sparse	natural	3	0	/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/mesh_algorithms_20260907-132958/p2048/sparse_natural/repeat_3
baseline	natural	3	0	/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/mesh_algorithms_20260907-132958/p2048/baseline_natural/repeat_3
sparse	split	3	0	/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/mesh_algorithms_20260907-132958/p2048/sparse_split/repeat_3
baseline	split	3	0	/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/mesh_algorithms_20260907-132958/p2048/baseline_split/repeat_3
baseline	natural	4	0	/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/mesh_algorithms_20260907-132958/p2048/baseline_natural/repeat_4
sparse	natural	4	0	/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/mesh_algorithms_20260907-132958/p2048/sparse_natural/repeat_4
baseline	split	4	0	/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/mesh_algorithms_20260907-132958/p2048/baseline_split/repeat_4
sparse	split	4	0	/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/mesh_algorithms_20260907-132958/p2048/sparse_split/repeat_4
sparse	natural	5	0	/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/mesh_algorithms_20260907-132958/p2048/sparse_natural/repeat_5
baseline	natural	5	0	/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/mesh_algorithms_20260907-132958/p2048/baseline_natural/repeat_5
sparse	split	5	0	/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/mesh_algorithms_20260907-132958/p2048/sparse_split/repeat_5
baseline	split	5	0	/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/mesh_algorithms_20260907-132958/p2048/baseline_split/repeat_5
