algorithm,timing,ranks,repeat,core_seconds,face_pipeline_seconds,face_exchange_seconds,vertex_wait_seconds,compute_imbalance,element_imbalance,volume_elements_sum,face_payload_receive_bytes,predicted_actual_correlation,compute_wait_correlation,cut_before,cut_after,partition_moves,compute_max_seconds,compute_mean_seconds,vertex_wait_mean_seconds,face_completion_spread,vertex_arrival_spread,post_face_compute_max_seconds,face_completion_wait_correlation,partition_adopted,partition_proposed_moves,closure_total_before,closure_total_after,closure_max_before,closure_max_after,candidate_closure_total,candidate_closure_max,seed_max_seconds,candidate_max_seconds,partition_rejection_flags,metis_partition_seconds,partition_cost_setup_seconds,partition_cost_balance_seconds,phase_0_max_seconds,phase_0_prediction_wape,phase_1_max_seconds,phase_1_prediction_wape,phase_2_max_seconds,phase_2_prediction_wape,phase_3_max_seconds,phase_3_prediction_wape
baseline,natural,8192,1,18.201191825000024,6.532909134999954,6.249303313999917,,1.6432355543194683,2.4651436516174496,3225937920,39805180184,0.1063077252237519,,27897,27897,0,8.460158477000277,5.148475795062734,,6.142620537000312,10.749586562999866,8.460938026999884,,0,0,0,0,0,0,0,0,0,0,0,2.8214016560000346,0.3898126089998186,0.03324760400028026,0.05353269699980956,,7.646961783999814,,0.8159968579998349,,0.06442114699984813,
baseline,natural,8192,2,18.45364028699987,6.675916147999942,6.4015901759999,,1.6740743040253743,2.4651436516174496,3225937920,39805180184,0.10740866328182068,,27897,27897,0,8.626223249999384,5.1528317645502995,,6.2113710050007285,11.145327379000264,8.626981340999919,,0,0,0,0,0,0,0,0,0,0,0,2.8888935330001004,0.3901327730000048,0.03410555599975851,0.057488873999773205,,7.757048214999941,,0.8218200490000527,,0.0670464700001503,
baseline,natural,8192,3,18.27686789499967,6.47432522400004,6.196540277000167,,1.6729672599273335,2.4651436516174496,3225937920,39805180184,0.10787415574976486,,27897,27897,0,8.616021309000189,5.15014341008349,,6.02678086700007,11.086305184000139,8.616805578999902,,0,0,0,0,0,0,0,0,0,0,0,2.8723505390003083,0.3848474350002107,0.03438097900016146,0.047881651999887254,,7.737229689000287,,0.8190358749998268,,0.054110922000290884,
baseline,natural,8192,4,18.447630179000043,6.619161435000024,6.337982733999979,,1.6639104476970175,2.4651436516174496,3225937920,39805180184,0.10616636382687943,,27897,27897,0,8.573242676999598,5.152466401581671,,6.091852517000007,10.988816685999609,8.574005968000165,,0,0,0,0,0,0,0,0,0,0,0,2.8992617650001193,0.38663131400016937,0.033969533999879786,0.05916031600008864,,7.747288796999783,,0.8183244870001545,,0.05140401499966174,
baseline,natural,8192,5,18.551116147000357,6.630552482999974,6.341916020000099,,1.663771012717652,2.4651436516174496,3225937920,39805180184,0.10570972405203782,,27897,27897,0,8.567820559999745,5.14963927999011,,6.172855561000233,11.077809809999962,8.568537650000053,,0,0,0,0,0,0,0,0,0,0,0,2.872583674999987,0.3916542249999111,0.032959524000034435,0.05825090500002261,,7.818623537999883,,0.8185041020001336,,0.054473198000323464,
baseline,split,8192,1,18.422644390000187,6.675514407999799,6.32740436999984,11.060423377999996,1.666475032011537,2.4651436516174496,3225937920,39805180184,0.10622610596323846,-0.5661148103735424,27897,27897,0,8.58249038699978,5.150086393217779,6.108625034356324,6.223412556999847,11.06012656699977,8.583224536000216,-0.869178011307687,0,0,0,0,0,0,0,0,0,0,0,2.8618601499997567,0.3829021169999578,0.03433491900023,0.051306882000062615,,7.721406829999978,,0.8162133210003049,,0.05227552199994534,
baseline,split,8192,2,18.517494228000032,6.662281508999968,6.310859077000259,10.951075625000158,1.6667912141862797,2.4651436516174496,3225937920,39805180184,0.10576493881815302,-0.5547937642507262,27897,27897,0,8.584171537000657,5.150118061542226,5.903047095258055,6.178262044999883,10.9507761509999,8.58494676600003,-0.8653674728727601,0,0,0,0,0,0,0,0,0,0,0,2.873660603999724,0.38933938300033333,0.03338252799994734,0.061239902999659535,,7.714940947999821,,0.8132834950001779,,0.0766759699999966,
baseline,split,8192,3,18.648383856000237,6.706776100999832,6.3626153469999736,11.08239550999997,1.6576681760541723,2.4651436516174496,3225937920,39805180184,0.1062240426111666,-0.5472553668418928,27897,27897,0,8.538761623000028,5.151068076438105,5.997238692290653,6.2515539819996775,11.08203518099981,8.539579791999586,-0.8681881810804799,0,0,0,0,0,0,0,0,0,0,0,2.874392892999822,0.3871060790002048,0.033901633999903424,0.0562985030001073,,7.780172366999977,,0.8227600620002704,,0.05523338099965258,
baseline,split,8192,4,18.657108166999933,6.841721054000118,6.437869000999854,11.139488347999759,1.668433249389222,2.4651436516174496,3225937920,39805180184,0.10604960991998098,-0.5604553497220156,27897,27897,0,8.594073519999256,5.150984328048703,6.1311373763810995,6.320313189999524,11.139212810999652,8.59533727600001,-0.8740670296530054,0,0,0,0,0,0,0,0,0,0,0,2.9853917530003855,0.3893044619999273,0.03402787499999249,0.05695777699975224,,7.714896574999784,,0.8218753629998901,,0.055967925999993895,
baseline,split,8192,5,18.56742098399991,6.726327322000088,6.366654357000243,11.05482284000027,1.670833437243639,2.4651436516174496,3225937920,39805180184,0.10564172815722647,-0.5493197612631618,27897,27897,0,8.605734594000296,5.15056402521912,5.90532044894873,6.236119297999721,11.054453145000025,8.606543666000107,-0.8683336930203217,0,0,0,0,0,0,0,0,0,0,0,2.8934142759999304,0.3861361270000998,0.034019714999885764,0.06163144300035128,,7.729179511999973,,0.813887177000197,,0.06439908699985608,
