algorithm,timing,ranks,partition_seed,successful_repeats,core_median,core_cv,face_pipeline_seconds_median,face_exchange_seconds_median,vertex_wait_seconds_median,compute_imbalance_median,element_imbalance_median,volume_elements_sum_median,face_payload_receive_bytes_median,predicted_actual_correlation_median,compute_wait_correlation_median,cut_before_median,cut_after_median,partition_moves_median,compute_max_seconds_median,compute_mean_seconds_median,vertex_wait_mean_seconds_median,face_completion_spread_median,vertex_arrival_spread_median,post_face_compute_max_seconds_median,face_completion_wait_correlation_median,partition_adopted_median,partition_proposed_moves_median,closure_total_before_median,closure_total_after_median,closure_max_before_median,closure_max_after_median,candidate_closure_total_median,candidate_closure_max_median,seed_max_seconds_median,candidate_max_seconds_median,partition_rejection_flags_median,seed_lower_seconds_median,candidate_upper_seconds_median,net_gain_lower_seconds_median,correction_seconds_median,search_timed_out_median,search_skipped_median,metis_partition_seconds_median,partition_cost_setup_seconds_median,partition_cost_balance_seconds_median,phase_0_max_seconds_median,phase_0_prediction_wape_median,phase_1_max_seconds_median,phase_1_prediction_wape_median,phase_2_max_seconds_median,phase_2_prediction_wape_median,phase_3_max_seconds_median,phase_3_prediction_wape_median,speedup_vs_baseline,speedup_vs_sparse,adoption_rate,skipped_runs,rejection_counts
sparse,natural,1024,-1,3,20.31682861399986,0.006079481391292441,0.5325731879997875,0.260042830000657,,1.3545821180274653,1.5627617242158485,2413166080,21260960,0.6487314841604767,,10873,10873,0,14.474906631999602,10.68128827080567,,0.015014138000424282,7.25953744699973,14.475648122000166,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7594398979999823,0.3888648510001076,0.03662210399988908,0.0271508470000299,,10.925202635999995,,4.218202152000231,,0.10896994899985657,,,1.0,0.0,0,"{""error_or_net_gain"": 0, ""feature_range"": 0, ""max_closure"": 0, ""no_moves"": 0, ""nominal_gain"": 0, ""total_closure"": 0}"
sparse,natural,1024,17,3,20.174939752999762,0.005974249610835633,0.4657701900000575,0.2273930679998557,,1.3553016816073904,1.5627617242158485,2413166080,21260960,0.6492268253488009,,10873,10873,0,14.477014940000117,10.685397292649448,,0.014336068000375235,7.18887576599991,14.4778385110003,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.729456773000038,0.3939225570002236,0.036310339999999997,0.03785037099987676,,10.992822117999822,,4.243374373000279,,0.11279584199974124,,,1.0,0.0,0,"{""error_or_net_gain"": 0, ""feature_range"": 0, ""max_closure"": 0, ""no_moves"": 0, ""nominal_gain"": 0, ""total_closure"": 0}"
sparse,natural,1024,41,3,20.216727542999706,0.0018338183584201248,0.5066330609997749,0.2649415840000984,,1.3518217100184327,1.5627617242158485,2413166080,21260960,0.6507488928470878,,10873,10873,0,14.444590154999787,10.68462260065334,,0.013940266999725281,7.233421819000341,14.445430405000025,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7574585739998838,0.39468918600005054,0.03659342400032983,0.028265855999961786,,10.885038320999683,,4.210117568999976,,0.12196145300049466,,,1.0,0.0,0,"{""error_or_net_gain"": 0, ""feature_range"": 0, ""max_closure"": 0, ""no_moves"": 0, ""nominal_gain"": 0, ""total_closure"": 0}"
sparse,natural,2048,-1,3,14.928996631000246,0.004500793179224374,0.5232580729998517,0.318490099000428,,1.3056002000432654,1.55136143553302,2552900608,28109144,0.4020602428283778,,14861,14861,0,10.47647392700037,8.026751915408694,,0.022088250999786396,5.244932667000285,10.477234854000017,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1269089819998044,0.39074411199999304,0.03776878400003625,0.02269348500021806,,8.799479128999792,,2.3221795019999263,,0.06925254599946129,,,1.0,0.0,0,"{""error_or_net_gain"": 0, ""feature_range"": 0, ""max_closure"": 0, ""no_moves"": 0, ""nominal_gain"": 0, ""total_closure"": 0}"
sparse,natural,2048,17,3,15.002147908000097,0.002889604714086144,0.5351188580002599,0.29024944000002506,,1.3071276436070567,1.55136143553302,2552900608,28109144,0.3999598732066982,,14861,14861,0,10.48874756100031,8.024271854626459,,0.01968157000010251,5.2952914299999065,10.489439809000032,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.109832290999748,0.3918127850001838,0.03776042400022561,0.021461960999658913,,8.826555608000035,,2.3525416779998523,,0.06507494500056055,,,1.0,0.0,0,"{""error_or_net_gain"": 0, ""feature_range"": 0, ""max_closure"": 0, ""no_moves"": 0, ""nominal_gain"": 0, ""total_closure"": 0}"
sparse,natural,2048,41,3,14.942033169000297,0.010671216525867238,0.5641046300002017,0.3452836500000558,,1.3051439369459077,1.55136143553302,2552900608,28109144,0.4012781271106691,,14861,14861,0,10.47420264199991,8.025741853991207,,0.03251005999982226,5.254380298999877,10.474877767999715,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.123442834999878,0.38775970500000767,0.03783328800000163,0.034138044999508566,,8.82218900099997,,2.317893845999606,,0.06996084799993696,,,1.0,0.0,0,"{""error_or_net_gain"": 0, ""feature_range"": 0, ""max_closure"": 0, ""no_moves"": 0, ""nominal_gain"": 0, ""total_closure"": 0}"
sparse,natural,4096,-1,3,14.344900134999989,0.005274385900633665,0.7726086349998695,0.5404615549996379,,1.5261877820011984,1.6539991294710623,2799585280,40708528,0.18490286439257686,,20315,20315,0,9.839287498999965,6.449005297233158,,0.003414803999930882,5.804178344999855,9.840322088999983,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.527613411999937,0.3967892529999517,0.03916227499985325,0.020946594999713852,,9.009356952999951,,1.2485628389999874,,0.042353678999916156,,,1.0,0.0,0,"{""error_or_net_gain"": 0, ""feature_range"": 0, ""max_closure"": 0, ""no_moves"": 0, ""nominal_gain"": 0, ""total_closure"": 0}"
sparse,natural,4096,17,3,14.348258075000103,0.006063407206392105,0.8166817739997896,0.5526391859998512,,1.51882385380414,1.6539991294710623,2799585280,40708528,0.18639513218424614,,20315,20315,0,9.793858827999884,6.448317758158446,,0.048534055999880366,5.667231810999965,9.7949369199996,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.531073490000381,0.39698579500009146,0.039201435999984824,0.025108045000251877,,8.963383758999953,,1.2516499209996255,,0.04045387399992251,,,1.0,0.0,0,"{""error_or_net_gain"": 0, ""feature_range"": 0, ""max_closure"": 0, ""no_moves"": 0, ""nominal_gain"": 0, ""total_closure"": 0}"
sparse,natural,4096,41,3,14.319113540000217,0.005530107062109526,0.7836256059999869,0.5573090359994239,,1.5204900709823344,1.6539991294710623,2799585280,40708528,0.18507498442062312,,20315,20315,0,9.806266893000156,6.448763237239505,,0.046018676000130654,5.728057977999924,9.807372382999802,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4977347919998465,0.3977633029999197,0.039145915000062814,0.024435311000161164,,8.972502889000225,,1.2374047049997898,,0.05256605499971556,,,1.0,0.0,0,"{""error_or_net_gain"": 0, ""feature_range"": 0, ""max_closure"": 0, ""no_moves"": 0, ""nominal_gain"": 0, ""total_closure"": 0}"
sparse,natural,8192,-1,3,13.484172405000209,0.00444020151142257,0.8300367910001114,0.3631141259998003,,1.5193502279402151,2.4651436516174496,3225937920,65856952,0.17279452059277914,,27897,27897,0,8.94763389299942,5.889118735401605,,0.04794615300033911,6.0205099439999685,8.948225462999744,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.999370185999851,0.3979829590002737,0.04084104000003208,0.033215087999906245,,8.152950357999998,,0.8297064759999557,,0.03676061999931335,,,1.0,0.0,0,"{""error_or_net_gain"": 0, ""feature_range"": 0, ""max_closure"": 0, ""no_moves"": 0, ""nominal_gain"": 0, ""total_closure"": 0}"
sparse,natural,8192,17,3,13.506502636000278,0.025813367364006676,0.9104571200000464,0.37195743699976447,,1.5085419430465157,2.4651436516174496,3225937920,65856952,0.17316032596329436,,27897,27897,0,8.88353170099981,5.890865233235104,,0.05481292399963422,5.953199445999871,8.884065249999821,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.009369402000175,0.39113935799969113,0.04091566099987176,0.0402787839998382,,8.092438578999918,,0.8296647910001411,,0.03626081599986719,,,1.0,0.0,0,"{""error_or_net_gain"": 0, ""feature_range"": 0, ""max_closure"": 0, ""no_moves"": 0, ""nominal_gain"": 0, ""total_closure"": 0}"
