algorithm,timing,ranks,partition_seed,successful_repeats,core_median,core_cv,face_pipeline_seconds_median,face_exchange_seconds_median,vertex_wait_seconds_median,compute_imbalance_median,element_imbalance_median,volume_elements_sum_median,face_payload_receive_bytes_median,predicted_actual_correlation_median,compute_wait_correlation_median,cut_before_median,cut_after_median,partition_moves_median,compute_max_seconds_median,compute_mean_seconds_median,vertex_wait_mean_seconds_median,face_completion_spread_median,vertex_arrival_spread_median,post_face_compute_max_seconds_median,face_completion_wait_correlation_median,partition_adopted_median,partition_proposed_moves_median,closure_total_before_median,closure_total_after_median,closure_max_before_median,closure_max_after_median,candidate_closure_total_median,candidate_closure_max_median,seed_max_seconds_median,candidate_max_seconds_median,partition_rejection_flags_median,seed_lower_seconds_median,candidate_upper_seconds_median,net_gain_lower_seconds_median,correction_seconds_median,search_timed_out_median,search_skipped_median,mapping_moved_nodes_median,mapping_predicted_gain_seconds_median,metis_partition_seconds_median,partition_cost_setup_seconds_median,partition_cost_balance_seconds_median,partition_node_mapping_seconds_median,phase_0_max_seconds_median,phase_0_prediction_wape_median,phase_1_max_seconds_median,phase_1_prediction_wape_median,phase_2_max_seconds_median,phase_2_prediction_wape_median,phase_3_max_seconds_median,phase_3_prediction_wape_median,speedup_vs_baseline,speedup_vs_sparse,adoption_rate,skipped_runs,rejection_counts
balance,natural,1024,41,5,19.634067985,0.030828220432089576,0.9864939730000515,0.712217107000015,,1.2719050261640554,1.383938080828665,2396906496,4971395352,0.8199885645589725,,10796,10796,0,13.59302825899988,10.689147258274414,,0.618930710000086,6.890910461999965,13.619939015,,0,0,0,0,0,0,0,0,14.303896725300286,14.066839602512122,0,0,0,0,6.3961e-05,0,0,0,0.2369907817881637,1.791716283000028,0.39712058400004935,0.03646518499999729,0.0005497270001342258,0.04035229300006904,0.3202132462462773,10.023735533000036,0.05566741839818702,4.018770143999973,0.08526152597890273,0.12485251199996128,0.24089353353491474,0.9945540558338867,0.9835219560079381,0.0,0,"{""error_or_net_gain"": 0, ""feature_range"": 0, ""max_closure"": 0, ""no_moves"": 0, ""nominal_gain"": 0, ""total_closure"": 0}"
balance,natural,2048,41,5,15.980735691999598,0.005614411127536215,1.7630643859999964,1.4902832379998472,,1.3092857856614901,1.5325943948525025,2545847296,9947650328,0.6888159119606151,,14861,14861,0,10.626039032999927,8.116171434649404,,1.3952335440001207,6.064927759999989,10.62692212600001,,1,0,0,0,0,0,0,0,10.239172559562293,9.555023389021303,0,0,0,0,8.6301e-05,0,0,127,0.6840574885409908,2.1577707219998956,0.3957758169999579,0.03764862099978927,0.0009899739998218138,0.04949033999992025,0.4022379799448592,8.940776790999962,0.04969920227957801,2.072101474000192,0.06901718447227397,0.08703553699979238,0.2988096451337397,0.9988646915042411,0.9417074818109917,1.0,0,"{""error_or_net_gain"": 0, ""feature_range"": 0, ""max_closure"": 0, ""no_moves"": 0, ""nominal_gain"": 0, ""total_closure"": 0}"
balance,natural,4096,41,5,15.347406531999923,0.003474771927154977,3.0406756370000494,2.769817181999997,,1.3610564112807786,1.6946711816597597,2796745216,19900160280,0.6011908027944278,,20305,20305,0,9.03413086899991,6.636453885683839,,2.572619812000312,6.353338688000122,9.034968798999898,,1,0,0,0,0,0,0,0,9.92937326245541,7.830234461239311,0,0,0,0,0.000130382,0,0,256,2.0990107202160995,2.622014676000049,0.39864848100000927,0.0390852940000741,0.0018606410000074902,0.060251005999930385,0.47481876438542703,7.820724216999906,0.05506224768883574,1.2212130389998492,0.065864424159034,0.05899177999992844,0.3914680942502561,0.9841361710532401,0.8821675632798855,1.0,0,"{""error_or_net_gain"": 0, ""feature_range"": 0, ""max_closure"": 0, ""no_moves"": 0, ""nominal_gain"": 0, ""total_closure"": 0}"
balance,natural,8192,41,5,18.487409685999978,0.006766467027894975,6.575187622999977,6.291198035999969,,1.4792814341563851,2.2904586215471436,3228418048,39805180184,0.6013238197804803,,27916,27916,0,8.753672682000115,5.916203519281374,,5.946867435000058,10.975012501000037,8.754882978000069,,1,0,0,0,0,0,0,0,10.03728949429627,7.350752606490962,0,0,0,0,0.000232123,0,0,511,2.6863048858053067,3.0992629259999944,0.3918370029998641,0.04112247000011848,0.00359946100002162,0.07452616800014766,0.41965490115432075,7.976924306000001,0.060235626795976605,0.7746163059999844,0.24798897772192158,0.05891135600006692,0.43078035847432333,0.9883294760777983,0.7333101850534719,1.0,0,"{""error_or_net_gain"": 0, ""feature_range"": 0, ""max_closure"": 0, ""no_moves"": 0, ""nominal_gain"": 0, ""total_closure"": 0}"
balance,split,1024,41,5,19.581388056999913,0.007415580543959378,0.9960735740000075,0.6957365589999824,6.6237508889998935,1.2723520054913047,1.383938080828665,2396906496,4971395352,0.822188257181047,-0.9882157970545882,10796,10796,0,13.604772207999758,10.69261662596777,3.0244638489375006,0.6266615279999996,6.623485000000073,13.605733697000005,-0.0927048415236332,0,0,0,0,0,0,0,0,14.303896725300286,14.066839602512122,0,0,0,0,6.6901e-05,0,0,0,0.2369851417881637,1.7523791009998604,0.39932899099994756,0.036599926000008054,0.000579647999984445,0.03994639300003655,0.32024549388215134,10.014306561000012,0.05576649470525564,4.01843449499998,0.0850102478340533,0.12740745500013873,0.24387449603723693,0.9999628278650214,0.9921564406183632,0.0,0,"{""error_or_net_gain"": 0, ""feature_range"": 0, ""max_closure"": 0, ""no_moves"": 0, ""nominal_gain"": 0, ""total_closure"": 0}"
balance,split,2048,41,5,16.083999478999885,0.006920860849990976,1.8286103450000155,1.5202021009999953,6.110849754000014,1.3133019590196349,1.5325943948525025,2545847296,9947650328,0.6876521733184767,-0.8160007382187335,14861,14861,0,10.659935818999884,8.116944877553223,2.7649759062065424,1.427862260999973,6.1106093599998985,10.660746431000007,-0.6191351577292147,1,0,0,0,0,0,0,0,10.239172559562293,9.555023389021303,0,0,0,0,8.4981e-05,0,0,127,0.6840605485409907,2.194420957999995,0.3966481259999455,0.03768390099999408,0.000991333999991184,0.050093844999878456,0.40302617312522754,8.973052006999978,0.04966706927016753,2.0549129749999793,0.06919501340601311,0.09406744799997568,0.29965379566691236,0.9992151152444115,0.9442421095467719,1.0,0,"{""error_or_net_gain"": 0, ""feature_range"": 0, ""max_closure"": 0, ""no_moves"": 0, ""nominal_gain"": 0, ""total_closure"": 0}"
balance,split,4096,41,5,15.520404872999961,0.006715675989830505,3.1118597839999893,2.76321561199984,6.360188496999854,1.3683271024648411,1.6946711816597597,2796745216,19900160280,0.6004435275531681,-0.5213007503590555,20305,20305,0,9.084821556000179,6.6376070954553255,3.130032182203858,2.6804182280000077,6.359868746000075,9.08563974699996,-0.8596497888611165,1,0,0,0,0,0,0,0,9.92937326245541,7.830234461239311,0,0,0,0,0.000131602,0,0,256,2.0990071992160995,2.583375075000049,0.4009661899999628,0.03899253300005512,0.0018765410000014526,0.05787332299996706,0.4754625433940324,7.849625089000028,0.05485875967058546,1.2236751970001478,0.06600593767454316,0.06290355900000577,0.39246421710480534,0.979630981434645,0.8792019848489045,1.0,0,"{""error_or_net_gain"": 0, ""feature_range"": 0, ""max_closure"": 0, ""no_moves"": 0, ""nominal_gain"": 0, ""total_closure"": 0}"
balance,split,8192,41,5,18.73981348899997,0.006224586465877982,6.790600714999982,6.24582575300019,11.04402678599996,1.4871746244341624,2.2904586215471436,3228418048,39805180184,0.5994465516196943,-0.2845804032153482,27916,27916,0,8.797868350999806,5.915212873635982,5.007479973085083,6.131167684000047,11.04374946300004,8.798702881000054,-0.9672969700445305,1,0,0,0,0,0,0,0,10.03728949429627,7.350752606490962,0,0,0,0,0.000238743,0,0,511,2.6862955848053067,3.0894478649997836,0.39807179400008863,0.04152283699977488,0.0036011619999953837,0.07279817099998809,0.41972579219078426,8.176119906999702,0.06046082676907736,0.7885648290000518,0.24819909563306272,0.05725543399989874,0.4296784880848572,0.9957725549378382,0.7224881217706742,1.0,0,"{""error_or_net_gain"": 0, ""feature_range"": 0, ""max_closure"": 0, ""no_moves"": 0, ""nominal_gain"": 0, ""total_closure"": 0}"
baseline,natural,1024,41,5,19.52714194700002,0.004732877601234128,0.9800295959998948,0.7069053010000061,,1.2677141598606176,1.383938080828665,2396906496,4971395352,0.8234655723203487,,10796,10796,0,13.552720359000006,10.691927319799808,,0.6213469079999641,6.786612171999991,13.553797171,,0,0,0,0,0,0,0,0,14.303896725300286,14.303896725300286,0,0,0,0,1.758e-05,0,0,0,-1.758e-05,1.7522730979999324,0.39659044900008666,0.036451024999962556,0.0005194670000037149,0.0469502339999508,0.3205413074435831,10.115662530000009,0.05580968511844661,4.05810077400001,0.08486262020707087,0.12334216399995057,0.24344100119982154,1.0,0.9889074909893172,0.0,0,"{""error_or_net_gain"": 0, ""feature_range"": 0, ""max_closure"": 0, ""no_moves"": 0, ""nominal_gain"": 0, ""total_closure"": 0}"
baseline,natural,2048,41,5,15.962592626999992,0.007983416689524398,1.791694613000118,1.518852564000099,,1.3191045392978697,1.5325943948525025,2545847296,9947650328,0.6997859843259574,,14861,14861,0,10.70328146700001,8.11405097028711,,1.4064659459999973,6.189338885000097,10.70432248000003,,0,0,0,0,0,0,0,0,10.239172559562293,10.239172559562293,0,0,0,0,2.772e-05,0,0,0,-2.772e-05,2.1891633049999655,0.3997575490000145,0.03770052099997656,0.0009464940000043498,0.04896003700014262,0.4025139783508266,9.007078390000004,0.05027654327322431,2.064362748999997,0.07004443657322698,0.09148855400002276,0.2998285664714789,1.0,0.9427778254858791,0.0,0,"{""error_or_net_gain"": 0, ""feature_range"": 0, ""max_closure"": 0, ""no_moves"": 0, ""nominal_gain"": 0, ""total_closure"": 0}"
