algorithm,timing,ranks,partition_seed,repeat,core_seconds,face_pipeline_seconds,face_exchange_seconds,vertex_wait_seconds,compute_imbalance,element_imbalance,volume_elements_sum,face_payload_receive_bytes,predicted_actual_correlation,compute_wait_correlation,cut_before,cut_after,partition_moves,compute_max_seconds,compute_mean_seconds,vertex_wait_mean_seconds,face_completion_spread,vertex_arrival_spread,post_face_compute_max_seconds,face_completion_wait_correlation,partition_adopted,partition_proposed_moves,closure_total_before,closure_total_after,closure_max_before,closure_max_after,candidate_closure_total,candidate_closure_max,seed_max_seconds,candidate_max_seconds,partition_rejection_flags,seed_lower_seconds,candidate_upper_seconds,net_gain_lower_seconds,correction_seconds,search_timed_out,search_skipped,mapping_moved_nodes,mapping_predicted_gain_seconds,metis_partition_seconds,partition_cost_setup_seconds,partition_cost_balance_seconds,partition_node_mapping_seconds,phase_0_max_seconds,phase_0_prediction_wape,phase_1_max_seconds,phase_1_prediction_wape,phase_2_max_seconds,phase_2_prediction_wape,phase_3_max_seconds,phase_3_prediction_wape
balance,natural,8192,41,1,18.487409685999978,6.575187622999977,6.280171326000016,,1.4821150878181093,2.2904586215471436,3228418048,39805180184,0.5986595608615878,,27916,27916,0,8.765378828999985,5.914101341417358,,5.931758588999969,10.864601298999986,8.766545621999995,,1,0,0,0,0,0,0,0,10.03728949429627,7.350752606490962,0,0,0,0,0.000232002,0,0,511,2.6863048858053067,3.0992629259999944,0.4805931369999996,0.04103526599999441,0.003545000000002574,0.07460606500001177,0.41965490115432075,7.976924306000001,0.06049708803325084,0.7746163059999844,0.24798897772192158,0.08515417199998865,0.42923906683111906
balance,natural,8192,41,2,18.29436671899998,6.56418694599995,6.281467218999978,,1.4792814341563851,2.2904586215471436,3228418048,39805180184,0.6017387613222851,,27916,27916,0,8.753672682000115,5.9175167617730695,,5.8943218520000755,10.857882479999944,8.754882978000069,,1,0,0,0,0,0,0,0,10.027606775554998,7.350752606490962,0,0,0,0,0.000232123,0,0,512,2.676622046064036,3.009332322000091,0.3851621950000208,0.04157243200006633,0.00359946100002162,0.07400282200001129,0.41924117250516235,8.273158795999962,0.060235626795976605,0.7733575940000037,0.2473363145546377,0.05891135600006692,0.4318214927526251
balance,natural,8192,41,3,18.453000726000027,6.563634711000077,6.291198035999969,,1.4710359041295074,2.2904586215471436,3228418048,39805180184,0.6014817064111551,,27916,27916,0,8.702947793000249,5.916203519281374,,6.015776985999992,11.11358596700029,8.704133070000125,,1,0,0,0,0,0,0,0,10.396822276037105,7.350752606490962,0,0,0,0,0.000257563,0,0,510,3.0458121065461423,3.0293253659999664,0.389638191999893,0.04101018899996234,0.003609801000038715,0.07452616800014766,0.4195410036574953,7.905251088000114,0.06023341449166048,0.8000101139998606,0.24838878247319116,0.050942035999923974,0.4308209593841569
balance,natural,8192,41,4,18.550949399000046,6.62195831300005,6.327129594000098,,1.4813257017480779,2.2904586215471436,3228418048,39805180184,0.6013238197804803,,27916,27916,0,8.76413752299959,5.916414946866334,,5.946867435000058,10.975012501000037,8.764895932999934,,1,0,0,0,0,0,0,0,10.03728949429627,7.350752606490962,0,0,0,0,0.000231103,0,0,511,2.686305784805307,3.1723725019999165,0.3918370029998641,0.041358854999998584,0.0036829420000685786,0.07200892000037129,0.4203356453502838,7.983610310999893,0.06016925047835477,0.7729818429997977,0.24850385838492012,0.059044461999974374,0.43049350200517855
balance,natural,8192,41,5,18.629443934999927,6.640906257000097,6.35036677700009,,1.4786420607395494,2.2904586215471436,3228418048,39805180184,0.6003907079498235,,27916,27916,0,8.74700752599938,5.915567910752197,,5.974112955999772,11.068566954999824,8.747794675000023,,1,0,0,0,0,0,0,0,10.027606775554998,7.350752606490962,0,0,0,0,0.000235463,0,0,512,2.676618706064036,3.1694006000002446,0.39594872199995734,0.04112247000011848,0.0035467000002427085,0.07559734699952969,0.42007250159985754,7.954812639000011,0.06037027330199717,0.7801552410001023,0.2479011937247447,0.05528181699992274,0.43078035847432333
balance,split,8192,41,1,18.73981348899997,6.83418825900003,6.3008056879999685,11.04402678599996,1.4991091303383903,2.2904586215471436,3228418048,39805180184,0.5993253149611918,-0.2834066371015204,27916,27916,0,8.865876370000024,5.914096706220947,4.972917873323609,6.133876655000051,11.04374946300004,8.866651418000004,-0.9675476949064596,1,0,0,0,0,0,0,0,10.03728949429627,7.350752606490962,0,0,0,0,0.000241303,0,0,511,2.6862955848053067,3.149464223999985,0.401376077000009,0.04101692599999751,0.003540760000021237,0.07279817099998809,0.4204211714589447,8.324413861999972,0.06055512616226902,0.7742518210000071,0.2492231267590718,0.05422820999996247,0.4296784880848572
balance,split,8192,41,2,18.815405299000076,6.8661216890000105,6.32037289799996,11.256039749000138,1.4796542946530216,2.2904586215471436,3228418048,39805180184,0.5990210492783236,-0.28151944590108,27916,27916,0,8.751091201000236,5.914280945639646,5.081401009533446,6.132574618999797,11.265577301000121,8.751753847999908,-0.9679279808225266,1,0,0,0,0,0,0,0,10.027606775554998,7.350752606490962,0,0,0,0,0.000246843,0,0,512,2.676607326064036,3.089463338999849,0.3981540899999345,0.042355064000048515,0.0036778620001314266,0.07205200799990052,0.41959573322565374,8.313390444999868,0.06046082676907736,0.784113810000008,0.2490899109392493,0.05725543399989874,0.42964426871065625
balance,split,8192,41,3,18.77493619500001,6.780388194999887,6.222213952999937,11.088426505999905,1.4871746244341624,2.2904586215471436,3228418048,39805180184,0.6020046819979635,-0.2876135595763705,27916,27916,0,8.797868350999806,5.9158273725570085,5.219023470993287,6.10633224299977,11.088226377000183,8.798702881000054,-0.9669428986756798,1,0,0,0,0,0,0,0,10.396822276037105,7.350752606490962,0,0,0,0,0.000234942,0,0,510,3.045834727546142,3.079675965999968,0.39807179400008863,0.041016871000010724,0.0034913800000140327,0.07342745699997977,0.41946126425182056,8.004728357999966,0.060239802354226706,0.7885648290000518,0.24808428396183785,0.06155173199999808,0.43139460099002835
balance,split,8192,41,4,18.566606024000066,6.790600714999982,6.24582575300019,11.032373317999827,1.4897448870838015,2.2904586215471436,3228418048,39805180184,0.601575101943145,-0.2845804032153482,27916,27916,0,8.812547263999932,5.915474079089225,4.898495559334224,6.131167684000047,11.032252633999633,8.81336843500003,-0.9672969700445305,1,0,0,0,0,0,0,0,10.03728949429627,7.350752606490962,0,0,0,0,0.000233203,0,0,511,2.686303684805307,3.0894478649997836,0.39477847299986024,0.041697248999753356,0.0036011619999953837,0.06090059200005271,0.41972579219078426,8.011716266999883,0.060363919423164894,0.7904323970001315,0.24819909563306272,0.05691836299956776,0.4294421155541106
balance,split,8192,41,5,18.57340549799983,6.7429650899998705,6.175025583000206,10.96482828399985,1.482199926240536,2.2904586215471436,3228418048,39805180184,0.5994465516196943,-0.2895664667012589,27916,27916,0,8.767528085000322,5.915212873635982,5.007479973085083,5.9974973129997124,10.95515167900021,8.768402875999982,-0.966404407884561,1,0,0,0,0,0,0,0,10.027606775554998,7.350752606490962,0,0,0,0,0.000238743,0,0,512,2.676615426064036,3.049576818999867,0.3978392060002989,0.04152283699977488,0.0036660419996223936,0.07328993600003741,0.4200897678058643,8.176119906999702,0.060481251611487034,0.8041250699998272,0.24818541867087252,0.06452204800007166,0.4304065855603194
