algorithm,timing,ranks,partition_seed,successful_repeats,core_median,core_cv,face_pipeline_seconds_median,face_exchange_seconds_median,vertex_wait_seconds_median,compute_imbalance_median,element_imbalance_median,volume_elements_sum_median,face_payload_receive_bytes_median,predicted_actual_correlation_median,compute_wait_correlation_median,cut_before_median,cut_after_median,partition_moves_median,task_count_median,active_workers_median,compute_max_seconds_median,compute_mean_seconds_median,task_cross_node_faces_before_median,task_cross_node_faces_after_median,task_cross_node_faces_limit_median,task_moved_between_nodes_median,task_completion_wait_max_seconds_median,task_dispatch_max_seconds_median,task_geometry_setup_max_seconds_median,task_merge_max_seconds_median,metis_partition_max_seconds_median,task_control_receive_bytes_median,speedup_vs_baseline,speedup_vs_sparse,adoption_rate,skipped_runs,rejection_counts
balance,natural,1024,41,5,111.41933045099995,0.03747914606477056,0.8441900339998938,0.7228785499999617,,2.4161995340722413,2.1171920582609336,3718962176,4971395352,,,0,0,0,16384,1023,95.4025546520013,39.48621883685142,15206,16726,16726,778,80.12738340500005,0.14502561100107414,0.43643632600014826,0.05679427799998393,2.970409160999992,336121804,0.9481896656564575,0.9415964906658484,0.0,0,"{""error_or_net_gain"": 0, ""feature_range"": 0, ""max_closure"": 0, ""no_moves"": 0, ""nominal_gain"": 0, ""total_closure"": 0}"
balance,natural,2048,41,5,70.21749103500008,0.03393933679026538,1.6744819179998558,1.5553994900001271,,1.426225138801239,1.5716112042544204,3718962176,9947650328,,,0,0,0,16384,2047,60.826220022999905,42.64541986306451,19938,21931,21931,1564,50.28862330599998,0.14775165500077492,0.4775431360000084,0.023243886000045677,3.0561560950000057,671719372,0.8308037687208418,0.8189672718487728,0.0,0,"{""error_or_net_gain"": 0, ""feature_range"": 0, ""max_closure"": 0, ""no_moves"": 0, ""nominal_gain"": 0, ""total_closure"": 0}"
balance,natural,4096,41,5,47.04946984700018,0.013940754235553039,3.290645478999977,3.1718073370000184,,1.737485673815927,2.188526402479873,3718962176,19900160280,,,0,0,0,16384,4095,37.422926919999554,21.536448638299152,25319,27850,27850,2717,30.378469087000212,0.19617177600093783,0.4954705670002113,0.018103136000036102,3.0341099370002667,1342914508,0.780003839561647,0.7194677829756307,0.0,0,"{""error_or_net_gain"": 0, ""feature_range"": 0, ""max_closure"": 0, ""no_moves"": 0, ""nominal_gain"": 0, ""total_closure"": 0}"
balance,natural,8192,41,5,26.654245653999965,0.07059336858032496,6.456244288000107,6.339342674999898,,1.2901680032847007,2.544352261785413,3718962176,39805180184,,,0,0,0,16384,8191,13.768398316999992,10.671283335222927,31046,34107,34150,9474,6.638762855999971,0.27798951899990243,0.5076608409999608,0.01909247499997946,3.0351535830000103,2685304780,1.0662167677866796,0.857461463838893,0.0,0,"{""error_or_net_gain"": 0, ""feature_range"": 0, ""max_closure"": 0, ""no_moves"": 0, ""nominal_gain"": 0, ""total_closure"": 0}"
balance,split,1024,41,5,113.53075398500005,0.016591697029780635,0.8570946080000112,0.7219830509999383,9.123731831999976,2.441293585053725,2.148770898389476,3718962176,4971395352,,-0.2389026366353784,0,0,0,16384,1023,96.58201107400009,39.54571062515445,15206,16726,16726,796,81.38906001099986,0.13671285200007333,0.43788259999996626,0.058869185000048674,2.9396756950000054,336121804,0.93126888083531,0.9274149235978034,0.0,0,"{""error_or_net_gain"": 0, ""feature_range"": 0, ""max_closure"": 0, ""no_moves"": 0, ""nominal_gain"": 0, ""total_closure"": 0}"
balance,split,2048,41,5,73.83918873099992,0.032831820617530066,1.6739646930000163,1.5449201569999786,4.985789052999962,1.5062832557651509,1.6003705050857715,3718962176,9947650328,,-0.7174981676781107,0,0,0,16384,2047,64.2215399449999,42.647755830232555,19938,21931,21931,1604,53.231959968999945,0.14765191800006505,0.4880150659996616,0.02233029200033343,3.033053973999813,671719372,0.7921505408610132,0.7786222083025512,0.0,0,"{""error_or_net_gain"": 0, ""feature_range"": 0, ""max_closure"": 0, ""no_moves"": 0, ""nominal_gain"": 0, ""total_closure"": 0}"
balance,split,4096,41,5,47.9876290120003,0.044022769326615405,3.317869453,3.182316435999951,4.861075357000118,1.7817339897337567,2.17330089027504,3718962176,19900160280,,-0.684441457867672,0,0,0,16384,4095,38.368894027999545,21.534900495959462,25319,27850,27850,2723,31.436456541999974,0.198177429999987,0.49166210199996385,0.0181836110000404,2.9781110100000205,1342914508,0.7649161389453265,0.7087455893787752,0.0,0,"{""error_or_net_gain"": 0, ""feature_range"": 0, ""max_closure"": 0, ""no_moves"": 0, ""nominal_gain"": 0, ""total_closure"": 0}"
balance,split,8192,41,5,26.701752742000053,0.11138291386322605,6.538944921999928,6.3845349399999805,7.791488177000247,1.2973035702167248,2.3808189825483184,3718962176,39805180184,,0.012986114596324476,0,0,0,16384,8191,13.838778586999524,10.671492797532409,31046,34128,34150,9461,6.726691723000158,0.27891840699999193,0.5015936629997668,0.013072902000203612,2.9985873749999428,2685304780,1.0727867296869553,0.8431717926736217,0.0,0,"{""error_or_net_gain"": 0, ""feature_range"": 0, ""max_closure"": 0, ""no_moves"": 0, ""nominal_gain"": 0, ""total_closure"": 0}"
baseline,natural,1024,41,5,105.64665768799999,0.005341130843376432,0.8427882039999872,0.7237176829999896,,2.394243342879234,1.2139526444057063,3718962176,4971395352,,,0,0,0,16384,1023,94.8234231450001,39.6047558937634,15206,15206,16726,0,67.56174173599993,0.436938616999214,0.43731158299999606,0.03593108299992309,2.9352324540000154,336121804,1.0,0.9930465652290733,0.0,0,"{""error_or_net_gain"": 0, ""feature_range"": 0, ""max_closure"": 0, ""no_moves"": 0, ""nominal_gain"": 0, ""total_closure"": 0}"
baseline,natural,2048,41,5,58.336956181999994,0.006614917304290331,1.6713201940000033,1.5452387699997416,,1.1782191261766424,1.3731156377321543,3718962176,9947650328,,,0,0,0,16384,2047,50.07746829799987,42.50267813976404,19938,19938,21931,0,35.21672389600002,0.79354225999964,0.478890430999968,0.026723293000031845,2.9715154710000036,671719372,1.0,0.985752957175082,0.0,0,"{""error_or_net_gain"": 0, ""feature_range"": 0, ""max_closure"": 0, ""no_moves"": 0, ""nominal_gain"": 0, ""total_closure"": 0}"
