algorithm,timing,ranks,partition_seed,repeat,core_seconds,face_pipeline_seconds,face_exchange_seconds,vertex_wait_seconds,compute_imbalance,element_imbalance,volume_elements_sum,face_payload_receive_bytes,predicted_actual_correlation,compute_wait_correlation,cut_before,cut_after,partition_moves,task_count,task_signature,active_workers,compute_max_seconds,compute_mean_seconds,task_cross_node_faces_before,task_cross_node_faces_after,task_cross_node_faces_limit,task_moved_between_nodes,task_completion_wait_max_seconds,task_dispatch_max_seconds,task_geometry_setup_max_seconds,task_merge_max_seconds,metis_partition_max_seconds,task_control_receive_bytes
balance,natural,4096,41,1,47.424106667999695,3.29068486999995,3.175520493000022,,1.736923222878605,2.278751659989994,3718962176,19900160280,,,0,0,0,16384,4af0a68226382bca,4095,37.39761665099968,21.530955518586808,25319,27850,27850,2723,30.378469087000212,0.19617177600093783,0.4954705670002113,0.031341850999979215,3.1273407899998347,1342914508
balance,natural,4096,41,2,46.85858065899993,3.2512275260000933,3.1321024370000714,,1.7473135917344311,1.9714218765961442,3718962176,19900160280,,,0,0,0,16384,4af0a68226382bca,4095,37.627523828000335,21.534499591827835,25319,27850,27850,2717,30.637454632999948,0.19837159400003657,0.49337469700003567,0.015195950000020275,3.0013291019999997,1342914508
balance,natural,4096,41,3,48.47072610999999,3.2819012639999983,3.1620013039998867,,1.7989422726443782,2.1676618116806576,3718962176,19900160280,,,0,0,0,16384,4af0a68226382bca,4095,38.762803474999146,21.54755272831477,25319,27850,27850,2706,31.466662313999905,0.2018528100002186,0.5102163420001489,0.016824403000100574,3.058880041000066,1342914508
balance,natural,4096,41,4,46.962892739999916,3.290645478999977,3.1718073370000184,,1.7220585352241597,2.2065714539818972,3718962176,19900160280,,,0,0,0,16384,4af0a68226382bca,4095,37.087025195999786,21.536448638299152,25319,27850,27850,2713,30.148410307000177,0.18782870499990167,0.4775463959999797,0.018103136000036102,3.0145695370001704,1342914508
balance,natural,4096,41,5,47.04946984700018,3.3114368329997887,3.1951618269999926,,1.737485673815927,2.188526402479873,3718962176,19900160280,,,0,0,0,16384,4af0a68226382bca,4095,37.422926919999554,21.538552797278616,25319,27850,27850,2740,30.29036505499971,0.19149585899958765,0.498799704999783,0.02595640400022603,3.0341099370002667,1342914508
balance,split,4096,41,1,47.809886311,3.317869453,3.184721564,4.773987865000009,1.7605966030868714,2.7479229990426233,3718962176,19900160280,,-0.684441457867672,0,0,0,16384,4af0a68226382bca,4095,37.91427266100001,21.534900495959462,25319,27850,27850,2730,30.78315432400001,0.1992069220000161,0.49724823900000104,0.01894612300000631,3.04530959600001,1342914508
balance,split,4096,41,2,47.915346667999984,3.315843057000052,3.182316435999951,5.033932825999955,1.7817339897337567,2.1326995243954854,3718962176,19900160280,,-0.655120125859271,0,0,0,16384,4af0a68226382bca,4095,38.368894027999545,21.534580498031012,25319,27850,27850,2704,31.436456541999974,0.198177429999987,0.49166210199996385,0.0167917920000491,2.9475198950000276,1342914508
balance,split,4096,41,3,48.14713333000009,3.3506381020001754,3.18696999399981,5.046443722999811,1.8060817683021162,2.16033100950796,3718962176,19900160280,,-0.6664873571039786,0,0,0,16384,4af0a68226382bca,4095,38.88756376699939,21.531452478786328,25319,27850,27850,2723,31.751142918999903,0.19250009800020962,0.435407929999883,0.03394384200009881,2.9781110100000205,1342914508
balance,split,4096,41,4,47.9876290120003,3.310030493999875,3.123991100999774,4.737415621000309,1.7730670785096962,2.452999188556415,3718962176,19900160280,,-0.6894179461705054,0,0,0,16384,4af0a68226382bca,4095,38.18383449499993,21.53547091241146,25319,27850,27850,2704,31.198574889999918,0.18801506099975995,0.4898069939999914,0.0181836110000404,2.9380340910001905,1342914508
balance,split,4096,41,5,52.77341918299999,3.366580614999748,3.179489746999934,4.861075357000118,1.9884686482607385,2.17330089027504,3718962176,19900160280,,-0.6851762275574526,0,0,0,16384,4af0a68226382bca,4095,42.83337329599999,21.54088440542687,25319,27850,27850,2758,35.72253486699992,0.2004190509996988,0.4985075340000549,0.017813888000091538,3.026204138999674,1342914508
