stage,category,time_min_s,time_avg_s,time_max_s,max_over_avg,max_percent_of_total,cache_references_total,cache_misses_total,cache_miss_rate_percent,instructions_total,cycles_total,ipc,minor_faults_total,major_faults_total,rchar_total_bytes,wchar_total_bytes,physical_read_total_bytes,physical_write_total_bytes,send_messages_total,receive_messages_total,send_total_bytes,receive_total_bytes,send_max_rank_bytes,receive_max_rank_bytes
geometry_load,io,1.715723751,1.74173490425,1.78069094,1.02236622557,1.50243307695,11205584190,201707703,1.80006414284,26521397969,29965325423,0.885069579409,43684,0,8281441,0,0,0,0,0,0,0,0,0
coarse_local_size,setup,0.445590409,0.455279487125,0.45982244,1.00997838252,0.387968752949,2136947296,50040966,2.34170333043,5059015821,7029480822,0.719685557028,71763,0,0,0,0,0,0,0,0,0,0,0
coarse_edge_mesh,setup,0.0121769990001,0.012498214,0.0126525350001,1.01234744421,0.0106753994556,50236553,1329146,2.64577468124,102251562,196713616,0.519799107348,4104,0,0,0,0,0,0,0,0,0,0,0
coarse_surface_mesh,setup,8.062609854,8.13933946925,8.216895235,1.00952850855,6.93289043795,45295231943,1304470705,2.87992940767,122506313431,141754731234,0.864213224945,105497,0,0,0,0,0,0,0,0,0,0,0
coarse_volume_mesh,setup,14.101339048,14.2187164083,14.478030436,1.01823751317,12.2156356993,42339827322,1032046768,2.43753183061,107196957607,170578312385,0.628432513537,161959,0,0,0,0,0,0,0,0,0,0,0
coarse_mesh_save,io,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
submesh_initialization,setup,0.000117561000025,0.000127348999968,0.000150061000113,1.17834455042,0.000126611870182,31542325652,768248839,2.43561254004,80155810876,127000630850,0.631144982033,49,0,0,0,0,0,0,0,0,0,0,0
metis_partition,compute,0.109058941,0.113693927875,0.1255797,1.10454183743,0.105956115592,32037761024,810825671,2.53084374527,81332200157,128983808320,0.630561317861,3304,0,0,0,0,0,0,0,0,0,0,0
face_map_setup,compute,0.00665983399995,0.00700939212504,0.00809055299987,1.15424459861,0.00682629094401,31566700777,768775268,2.43539948451,80218991206,127118938088,0.63105460455,1359,0,0,0,0,0,0,0,0,0,0,0
face_local_extract,compute,0.154317801,0.15983438025,0.16642163,1.04121297145,0.140415922839,32047804064,785713044,2.4516907381,81502093917,129790062717,0.627953267075,3122,0,0,0,0,0,0,0,0,0,0,0
face_pre_collective_wait,synchronization,3.24000002365e-05,0.011571484125,0.0218263429997,1.88621811722,0.0184156716558,31662834963,768463714,2.42702119029,80393942161,127202168353,0.632017073309,2,0,0,0,0,0,0,0,0,0,0,0
face_collective_setup,compute,0.00011264099976,0.000118236499986,0.000124701000004,1.05467431816,0.00010521472476,31541677580,768220545,2.43557287989,80154646132,126999897435,0.631139455628,121,0,0,0,0,0,0,0,0,0,0,0
face_allgatherv,communication,0.0558935270001,0.056076404,0.0563041639998,1.00406160138,0.0475058509385,32500199078,771976112,2.37529656402,82019026973,127960936131,0.640969263378,4524,0,0,0,0,0,8,8,4859624,38876992,607936,4859624
face_global_merge,compute,0.0734252369998,0.075868344,0.0796340929996,1.04963531298,0.0671901522537,31688297377,775351275,2.44680635812,80511576565,128321999683,0.627418344196,2208,0,0,0,0,0,0,0,0,0,0,0
part_face_create,compute,0.018944376,0.0202982327501,0.022008551,1.08425946589,0.0185694071078,31585143075,769870288,2.43744435848,80257331171,127354169587,0.630190055271,23,0,0,0,0,0,0,0,0,0,0,0
surface_refine,compute,0.0610367249997,0.0733315324999,0.084542003,1.15287380637,0.0713311326774,31803747027,776616243,2.44190171158,80694690964,128151164500,0.629683634002,25382,0,0,0,0,0,0,0,0,0,0,0
refined_surface_save,io,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
local_volume_mesh,compute,57.643644293,67.1696753956,79.729116522,1.18698082211,67.2703270217,275542829207,7431814126,2.69715388616,744189972661,1.17655439425e+12,0.632516419381,432372,0,0,0,0,0,0,0,0,0,0,0
volume_refine,compute,6.11161426,7.47463245862,9.075087401,1.21411821267,7.65697807585,228041106975,6298735340,2.76210522899,594922676433,987660281711,0.602355574533,204719,0,0,0,0,0,0,0,0,0,0,0
refined_volume_save,io,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adjacency_build,compute,0.00304232000008,0.00333263462505,0.00367909500028,1.10395990386,0.00310418495286,209485730590,5532248203,2.64087114068,558781010627,867220197557,0.644335789458,72,0,0,0,0,0,0,0,0,0,0,0
vertex_numbering_local,compute,0.0529310410002,0.068065015875,0.0826448010002,1.21420380114,0.0697303950232,209644908803,5536642088,2.64096186242,559173541881,868297281303,0.643988589993,8446,0,0,0,0,0,0,0,0,0,0,0
vertex_count_allgather,communication,0.000131680999857,12.976716996,23.282166088,1.79414917465,19.6440020263,344416154542,6227726297,1.80819808098,825575352833,1.09536204192e+12,0.753700896358,302,0,0,0,0,0,8,8,32,256,4,32
element_count_allgather,communication,5.11809998898e-05,0.000887105749996,0.00165476200027,1.8653491991,0.00139618229522,209489396546,5532031853,2.64072165189,558788489322,867178276259,0.644375562235,10,0,0,0,0,0,8,8,32,256,4,32
vertex_exchange_prepare,compute,1.32999998641e-05,0.00010313125,0.000296724000236,2.87714926596,0.000250356725395,209480673710,5531979113,2.64080643576,558771302197,867163108678,0.644367013086,209,0,0,0,0,0,0,0,0,0,0,0
vertex_exchange,communication,0.00277727899993,0.005525658875,0.00858527800028,1.55371118531,0.00724370824418,209549568520,5532441226,2.64015872954,558906499572,867255199508,0.644454481091,917,0,0,0,0,0,8,8,1465090,1465090,346236,603086
vertex_exchange_unpack,compute,1.03999991552e-06,0.00284598274999,0.00869375899993,3.0547476087,0.00733523757048,209489345178,5532140435,2.64077413116,558792413361,867209993475,0.644356519834,1430,0,0,0,0,0,0,0,0,0,0,0
partition_result_io,io,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
volume_exchange_pack,compute,1.461176667,1.87642791913,2.306185759,1.22902976208,1.94581198122,428518634233,11190837011,2.61151700696,1.14514363286e+12,1.76707229142e+12,0.648045718573,14946,0,0,0,0,0,0,0,0,0,0,0
volume_size_exchange,communication,2.93810003313e-05,0.24262365475,0.553442856,2.28107542346,0.466959669629,212006558971,5542063562,2.61410004903,563760412842,871429487284,0.646937498752,14,0,0,0,0,0,16,16,64,64,12,12
volume_payload_prepare,compute,0.000195162000182,0.000325793749937,0.000784669000041,2.40848389569,0.000662053494873,209480675619,5531979109,2.64080640978,558772693291,867166384955,0.64436618276,170,0,0,0,0,0,0,0,0,0,0,0
volume_payload_exchange,communication,0.00146403899998,0.114704265875,0.302222344,2.63479602694,0.254995876049,210661707824,5537166601,2.62846373847,561104564611,869163241861,0.645568677536,1573,0,0,0,0,0,16,16,31152120,31152120,6383640,6409080
volume_exchange_unpack,compute,1.258672103,1.5275459585,2.223938828,1.45588996234,1.87641728345,216965212388,5747473685,2.64903005498,580027744799,891184244858,0.650850537524,496346,0,0,0,0,0,0,0,0,0,0,0
final_mesh_save,io,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
