rank,host,stage,category,time_s,calls,cache_references,cache_misses,cache_miss_rate_percent,instructions,cycles,ipc,minor_faults,major_faults,rchar_bytes,wchar_bytes,physical_read_bytes,physical_write_bytes,voluntary_context_switches,involuntary_context_switches,send_messages,receive_messages,send_bytes,receive_bytes
0,cn3185,geometry_load,io,2.241007319,1,1402178749,24753386,1.76535167272,3318160356,4365193900,0.76014042721,6649,0,1035188,0,12951552,0,226,2,0,0,0,0
0,cn3185,coarse_local_size,setup,0.560112448,1,268374224,6621144,2.46713112061,632815041,1013394296,0.624450960004,7871,0,0,0,0,0,245,29,0,0,0,0
0,cn3185,coarse_edge_mesh,setup,0.0157564199999,1,6270296,182422,2.90930444113,12761094,25206437,0.506263300918,517,0,0,0,0,0,3,0,0,0,0,0
0,cn3185,coarse_surface_mesh,setup,8.749589062,1,5674561829,170776274,3.00950591687,15312117715,19059840954,0.803370697161,16706,0,0,0,0,0,28,10,0,0,0,0
0,cn3185,coarse_volume_mesh,setup,13.72550187,1,5600750718,125450220,2.23988222859,13981853186,24397417858,0.573087417176,32155,0,0,0,0,0,39502,1628276,0,0,0,0
0,cn3185,coarse_mesh_save,io,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,cn3185,submesh_initialization,setup,0.000276023999959,1,5198765498,117119731,2.25283735235,12855133987,22515246932,0.570952387323,54,0,0,0,0,0,0,0,0,0,0,0
0,cn3185,metis_partition,compute,0.161507848,1,5267934950,122523648,2.32583828697,13016886334,22857449319,0.569481141677,1995,0,0,0,0,0,1,1,0,0,0,0
0,cn3185,face_map_setup,compute,0.00809233199993,1,5201787265,117187084,2.25282346298,12863021850,22531312523,0.570895363369,612,0,0,0,0,0,0,0,0,0,0,0
0,cn3185,face_local_extract,compute,0.168062923,1,5260840168,119290828,2.26752427731,13020512626,22880601260,0.569063394709,996,0,0,0,0,0,0,0,0,0,0,0
0,cn3185,face_pre_collective_wait,synchronization,0.0029135530001,1,5202310737,117135455,2.25160435279,12862181092,22521337361,0.571110893009,9,0,0,0,0,0,0,0,0,0,0,0
0,cn3185,face_collective_setup,compute,0.00254266900015,1,5198682470,117116290,2.2528071425,12854988175,22515169560,0.570947873199,16,0,0,0,0,0,3,0,0,0,0,0
0,cn3185,face_allgatherv,communication,0.0577160799999,1,5320269099,117613441,2.21066714505,13091680424,22637962245,0.578306487232,760,0,0,0,0,0,1,0,1,1,303600,4859624
0,cn3185,face_global_merge,compute,0.0802360580001,1,5217002008,118026533,2.26234402093,12899554930,22689932312,0.568514473848,545,0,0,0,0,0,0,0,0,0,0,0
0,cn3185,part_face_create,compute,0.020518735,1,5203725554,117316838,2.25447781176,12866648178,22559397399,0.570345384251,59,0,0,0,0,0,0,0,0,0,0,0
0,cn3185,surface_refine,compute,0.05591056,1,5219776737,117925359,2.25920312193,12897539056,22622141302,0.570129011388,2865,0,0,0,0,0,0,0,0,0,0,0
0,cn3185,refined_surface_save,io,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
