rank,host,total_wall_seconds,coarse_points,coarse_surface_elements,coarse_volume_elements,facemap_entries,physical_boundary_faces,partition_boundary_faces,local_points_before_adjacency,local_surface_elements_before_adjacency,local_volume_elements_before_adjacency,shared_vertices,adjacent_processes,vertex_send_items,vertex_receive_items,volume_send_items,volume_receive_items,local_points_after_adjacency,local_surface_elements_after_adjacency,local_volume_elements_after_adjacency,peak_rss_mib,hardware_cache_available,process_io_available
0,cn4335,34.75514465,8067,12694,26411,18116,12694,5422,35621,21504,180480,2553,2,2538,16,4936,4953,37651,21504,185433,221.96875,1,1
1,cn4336,34.778839777,8067,12694,26411,18116,12694,5422,44341,25088,227328,5073,4,3870,1255,9833,9794,48592,25088,237122,223.81640625,1,1
2,cn4337,34.784239828,8067,12694,26411,18116,12694,5422,36893,25600,181760,8449,11,5523,3025,16523,16608,43993,25600,198368,244.21875,1,1
3,cn4338,34.752255344,8067,12694,26411,18116,12694,5422,36179,21504,183744,2041,4,1089,969,3855,3840,37933,21504,187584,241.3515625,1,1
4,cn4339,34.774350551,8067,12694,26411,18116,12694,5422,31247,20480,155840,7328,12,5883,1621,14479,14531,37537,20480,170371,241.53125,1,1
5,cn4340,34.761163259,8067,12694,26411,18116,12694,5422,35469,23552,176384,4001,5,984,3049,7806,7753,38859,23552,184137,241.1796875,1,1
6,cn4341,34.788004243,8067,12694,26411,18116,12694,5422,39659,24576,200000,7800,12,5720,2194,15276,15328,46130,24576,215328,244.734375,1,1
7,cn4342,34.781890143,8067,12694,26411,18116,12694,5422,54325,27648,283264,2841,3,1260,1599,5446,5457,56692,27648,288721,260.9375,1,1
8,cn4343,34.785598699,8067,12694,26411,18116,12694,5422,39219,23040,199744,6577,8,6542,162,12876,12916,44961,23040,212660,243.5859375,1,1
9,cn4344,34.778145267,8067,12694,26411,18116,12694,5422,51609,26624,268544,3081,5,714,2416,5960,5921,54277,26624,274465,270.22265625,1,1
10,cn4345,34.7853491,8067,12694,26411,18116,12694,5422,24825,16896,122752,6753,9,5986,913,13515,13430,30587,16896,136182,251.0546875,1,1
11,cn4346,34.770946806,8067,12694,26411,18116,12694,5422,35359,21504,178880,6017,10,2218,3919,11876,11893,40400,21504,190773,241.65625,1,1
12,cn4347,34.765241922,8067,12694,26411,18116,12694,5422,35135,20480,179136,4737,9,4571,249,9271,9246,39168,20480,188382,241.0078125,1,1
13,cn4348,34.784511936,8067,12694,26411,18116,12694,5422,29045,22016,140032,9495,12,7085,2710,18819,18828,37220,22016,158860,248.10546875,1,1
14,cn4349,34.78774334,8067,12694,26411,18116,12694,5422,36311,26112,177344,9512,13,2205,7450,18807,18871,44445,26112,196215,244.8125,1,1
15,cn4350,34.770178201,8067,12694,26411,18116,12694,5422,27901,18944,138112,8017,9,3,8016,15995,16022,34717,18944,154134,241.515625,1,1
16,cn4351,34.754427621,8067,12694,26411,18116,12694,5422,42505,23040,219392,1889,2,1891,0,3626,3623,44014,23040,223015,223.63671875,1,1
17,cn4352,34.758057696,8067,12694,26411,18116,12694,5422,29933,18944,150272,4016,3,2112,1921,7754,7722,33337,18944,157994,221.69140625,1,1
18,cn4353,34.750915116,8067,12694,26411,18116,12694,5422,34199,19968,174272,2417,3,2438,15,4638,4647,36242,19968,178919,222.01171875,1,1
19,cn4354,34.794379426,8067,12694,26411,18116,12694,5422,44474,28160,223104,7082,8,3592,3631,13649,13601,50635,28160,236705,245.421875,1,1
20,cn4355,34.791639122,8067,12694,26411,18116,12694,5422,55999,28160,292544,2993,5,2964,32,5721,5662,58580,28160,298206,271.08203125,1,1
21,cn4356,34.784949859,8067,12694,26411,18116,12694,5422,53099,27136,276672,3217,5,1376,1890,6220,6213,55878,27136,282885,261.453125,1,1
22,cn4357,34.767284772,8067,12694,26411,18116,12694,5422,32585,19456,165504,5536,6,3365,2207,10892,10878,37290,19456,176382,241.078125,1,1
23,cn4358,34.790513418,8067,12694,26411,18116,12694,5422,39591,23040,202048,7120,8,3701,3519,13985,14089,45497,23040,216137,250.0234375,1,1
24,cn4359,34.793163985,8067,12694,26411,18116,12694,5422,34379,23552,169920,8775,11,7090,1818,17322,17347,41680,23552,187267,250.36328125,1,1
25,cn4360,34.793937794,8067,12694,26411,18116,12694,5422,37783,25088,187968,9392,10,4320,5190,18547,18660,45581,25088,206628,245.3984375,1,1
26,cn4361,34.774973529,8067,12694,26411,18116,12694,5422,40227,22016,207296,5569,10,3760,1890,10872,10835,44952,22016,218131,243.02734375,1,1
27,cn4362,34.779763014,8067,12694,26411,18116,12694,5422,31147,20992,154304,8096,10,2135,6089,16107,15995,38161,20992,170299,241.50390625,1,1
28,cn4363,34.781873316,8067,12694,26411,18116,12694,5422,34439,23552,170176,7752,11,1679,6138,15207,15277,41018,23552,185453,249.0546875,1,1
29,cn4364,34.781999888,8067,12694,26411,18116,12694,5422,53751,25088,283584,2705,5,680,2025,5153,5147,56059,25088,288731,262.578125,1,1
30,cn4365,34.773195159,8067,12694,26411,18116,12694,5422,42804,28160,213056,4234,6,936,3298,7989,7996,46454,28160,221052,242.61328125,1,1
31,cn4366,34.749752934,8067,12694,26411,18116,12694,5422,33957,20480,172032,2041,4,0,2041,3885,3847,35668,20480,175879,241.09375,1,1
32,cn4367,34.757589661,8067,12694,26411,18116,12694,5422,31405,19968,157568,5417,6,3667,1861,10588,10574,36019,19968,168142,241.56640625,1,1
33,cn4368,34.752665618,8067,12694,26411,18116,12694,5422,33553,20992,168832,2177,4,1223,970,4117,4124,35383,20992,172956,221.95703125,1,1
34,cn4369,34.777073355,8067,12694,26411,18116,12694,5422,31487,20992,156480,7960,8,4198,3846,15801,15741,38135,20992,172221,241.91015625,1,1
35,cn4370,34.78204492,8067,12694,26411,18116,12694,5422,32377,20992,161664,8216,13,4165,4151,16296,16288,39367,20992,177952,242.20703125,1,1
36,cn4371,34.794586426,8067,12694,26411,18116,12694,5422,34991,25088,171072,10159,11,8775,1594,20160,20192,43606,25088,191264,251.98828125,1,1
37,cn4372,34.773297143,8067,12694,26411,18116,12694,5422,34085,22528,169728,6712,9,1510,5265,13150,13159,39672,22528,182887,247.96875,1,1
38,cn4373,34.77121139,8067,12694,26411,18116,12694,5422,28695,18432,143680,7129,10,5285,2040,14191,14200,34765,18432,157880,241.578125,1,1
39,cn4374,34.773830219,8067,12694,26411,18116,12694,5422,31065,19456,156288,7897,8,3566,4463,15794,15723,37869,19456,172011,247.77734375,1,1
40,cn4375,34.780492873,8067,12694,26411,18116,12694,5422,32845,23552,160768,8024,7,8084,100,15763,15820,39474,23552,176588,249.19140625,1,1
