experiment,processes,repeat,timestamp,total_wall_avg_s,total_wall_max_s,unprofiled_avg_s,unprofiled_max_s,profile_coverage_percent,setup_avg_s,setup_max_s,compute_avg_s,compute_max_s,postprocess_avg_s,postprocess_max_s,communication_avg_s,communication_max_s,synchronization_avg_s,synchronization_max_s,communication_fraction_avg_percent,communication_fraction_max_percent,io_avg_s,io_max_s,io_fraction_max_percent,io_counter_available_ranks,cache_available_ranks,cache_references_total,cache_misses_total,cache_miss_rate_percent,instructions_total,cycles_total,ipc,minor_faults_total,major_faults_total,logical_read_total_bytes,logical_write_total_bytes,physical_read_total_bytes,physical_write_total_bytes,peak_rss_avg_mib,peak_rss_max_mib,local_volume_elements_avg,local_volume_elements_max,volume_imbalance_max_over_avg,core_only,source_file
strong_scaling_core_timing_l2_r2_20260810-225842,1,1,20260810-231052,719.439647495,719.439647495,5.587670706,5.587670706,99.2233301674,23.468857703,23.468857703,688.101458016,688.101458016,0,0,0.0644268830006,0.0644268830006,2.2600002012e-06,2.2600002012e-06,0.00895546182715,0.00895546182715,2.217231927,2.217231927,0.308188731983,1,0,0,0,0,0,0,0,3798310,1,1035100,0,12951552,0,12535.75,12535.75,46570944,46570944,1,1,/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/strong_scaling_core_timing_l2_r2_20260810-225842/p00001/repeat_01_20260810-231052/run_summary.csv
strong_scaling_core_timing_l2_r2_20260810-225842,1,2,20260810-232307,726.462343834,726.462343834,5.614798941,5.614798941,99.2271039251,23.426646734,23.426646734,692.498277684,692.498277684,0,0,0.047720682,0.047720682,1.68000008216e-06,1.68000008216e-06,0.00656914462327,0.00656914462327,4.874898113,4.874898113,0.671046222062,1,0,0,0,0,0,0,0,3818039,0,1035100,0,9183232,0,12563.125,12563.125,46570944,46570944,1,1,/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/strong_scaling_core_timing_l2_r2_20260810-225842/p00001/repeat_02_20260810-232307/run_summary.csv
strong_scaling_core_timing_l2_r2_20260810-225842,1,3,20260810-233507,712.555812875,712.555812875,5.630867575,5.630867575,99.2097646987,22.848876386,22.848876386,682.317876079,682.317876079,0,0,0.0477093229999,0.0477093229999,2.12000009014e-06,2.12000009014e-06,0.0066958183679,0.0066958183679,1.710481392,1.710481392,0.240048759844,1,0,0,0,0,0,0,0,3796733,0,1035093,0,0,0,12561.71875,12561.71875,46570944,46570944,1,1,/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/strong_scaling_core_timing_l2_r2_20260810-225842/p00001/repeat_03_20260810-233507/run_summary.csv
strong_scaling_core_timing_l2_r2_20260810-225842,2,1,20260810-230452,360.272732242,362.770851409,3.397406358,3.460719193,99.0569904259,23.476245757,23.680830556,302.339492211,327.369598744,0,0,28.870545744,56.081484213,0.00247178199993,0.00491362399998,8.0142111634,15.4592117683,2.1865703895,2.238401829,0.617029130181,2,0,0,0,0,0,0,0,2449266,0,2070197,0,23367680,0,6403.38671875,6431.63671875,27030848,30363968,1.12330800721,1,/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/strong_scaling_core_timing_l2_r2_20260810-225842/p00002/repeat_01_20260810-230452/run_summary.csv
strong_scaling_core_timing_l2_r2_20260810-225842,2,2,20260810-231056,357.775277505,359.545072026,3.1917424505,3.526462126,99.1078918385,22.366832302,22.418808983,301.820260277,326.823328874,0,0,28.647184528,55.026457361,0.00555039249997,0.011071825,8.00858436064,15.3044751833,1.7437075555,1.756122917,0.488429143836,2,0,0,0,0,0,0,0,2512390,0,2070185,0,0,0,6402.38476562,6429.6328125,27030848,30363968,1.12330800721,1,/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/strong_scaling_core_timing_l2_r2_20260810-225842/p00002/repeat_02_20260810-231056/run_summary.csv
strong_scaling_core_timing_l2_r2_20260810-225842,2,3,20260810-231659,356.693338006,358.726857864,3.1277609155,3.362900178,99.1231232596,22.5527683885,22.65355659,300.049735599,324.299844022,0,0,29.2348445945,55.182520828,0.00107670350002,0.00212642700001,8.1963743594,15.382887174,1.7271518045,1.728226111,0.481766578976,2,0,0,0,0,0,0,0,2391913,0,2070185,0,0,0,6402.78710938,6431.58203125,27030848,30363968,1.12330800721,1,/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/strong_scaling_core_timing_l2_r2_20260810-225842/p00002/repeat_03_20260810-231659/run_summary.csv
strong_scaling_core_timing_l2_r2_20260810-225842,4,1,20260810-230201,191.67861158,193.52073102,1.77350611175,2.304336904,99.0747501262,22.5955654718,22.726949281,147.110880508,162.851460546,0,0,18.1089100815,46.089824603,0.00384861075008,0.0130440099997,9.44954606202,23.8175689654,2.085900796,2.16941998,1.12102717294,4,0,0,0,0,0,0,0,3543777,0,4140385,0,41717760,0,3918.43847656,5857.953125,13360288,16995712,1.27210670908,1,/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/strong_scaling_core_timing_l2_r2_20260810-225842/p00004/repeat_01_20260810-230201/run_summary.csv
strong_scaling_core_timing_l2_r2_20260810-225842,4,2,20260810-230518,191.618502263,193.557844161,1.64685676875,1.919043914,99.1405544093,21.9343875895,22.037992114,146.735731733,164.809083684,0,0,19.5308376707,47.314113437,0.011806429,0.024046893,10.1987250025,24.4470765285,1.7588820725,1.770911661,0.914926320179,4,0,0,0,0,0,0,0,3533891,0,4140369,0,0,0,3920.04394531,5864.4609375,13360288,16995712,1.27210670908,1,/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/strong_scaling_core_timing_l2_r2_20260810-225842/p00004/repeat_02_20260810-230518/run_summary.csv
strong_scaling_core_timing_l2_r2_20260810-225842,4,3,20260810-230833,190.746678971,192.560310983,1.6844861985,1.870146034,99.1168988065,21.9486817825,22.110720769,146.672452911,162.678111942,0,0,18.695874839,45.989531427,0.0063760825,0.00942665299999,9.80475834356,23.888078413,1.73880715775,1.766645331,0.917450393584,4,0,0,0,0,0,0,0,3423129,0,4140369,0,0,0,3919.47167969,5863.38671875,13360288,16995712,1.27210670908,1,/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/strong_scaling_core_timing_l2_r2_20260810-225842/p00004/repeat_03_20260810-230833/run_summary.csv
strong_scaling_core_timing_l2_r2_20260810-225842,8,1,20260810-230045,117.244641737,117.923651132,1.8265176115,2.19355294,98.4421312698,22.5315077145,22.800517576,78.2108857425,91.179317542,0,0,12.519023409,22.687443342,0.00609305224998,0.0117354269996,10.6828903016,19.2490467782,2.15061420712,3.082613414,2.61407561961,8,0,0,0,0,0,0,0,2275045,0,8280777,0,83431424,0,1711.44873047,1740.0078125,6091584,8020864,1.31671236907,1,/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/strong_scaling_core_timing_l2_r2_20260810-225842/p00008/repeat_01_20260810-230045/run_summary.csv
