rank,host,stage,category,time_s,calls,cache_references,cache_misses,cache_miss_rate_percent,instructions,cycles,ipc,minor_faults,major_faults,rchar_bytes,wchar_bytes,physical_read_bytes,physical_write_bytes,voluntary_context_switches,involuntary_context_switches,send_messages,receive_messages,send_bytes,receive_bytes
0,cn10241,geometry_load,io,1.731292194,1,0,0,0,0,0,0,4880,0,1035093,0,0,0,2,17,0,0,0,0
0,cn10241,coarse_local_size,setup,0.493520623,1,0,0,0,0,0,0,9870,0,0,0,0,0,121,59,0,0,0,0
0,cn10241,coarse_edge_mesh,setup,0.011827014,1,0,0,0,0,0,0,535,0,0,0,0,0,0,1,0,0,0,0
0,cn10241,coarse_surface_mesh,setup,7.995658914,1,0,0,0,0,0,0,13538,0,0,0,0,0,0,69,0,0,0,0
0,cn10241,coarse_volume_mesh,setup,13.813730689,1,0,0,0,0,0,0,22034,0,0,0,0,0,81087,2677585,0,0,0,0
0,cn10241,coarse_mesh_save,io,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,cn10241,submesh_initialization,setup,0.000118380999993,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,cn10241,metis_partition,compute,0.106751218,1,0,0,0,0,0,0,333,0,0,0,0,0,0,1,0,0,0,0
0,cn10241,face_map_setup,compute,0.00717409399999,1,0,0,0,0,0,0,195,0,0,0,0,0,0,0,0,0,0,0
0,cn10241,face_local_extract,compute,0.167361971,1,0,0,0,0,0,0,762,0,0,0,0,0,0,1,0,0,0,0
0,cn10241,face_pre_collective_wait,synchronization,0.011071825,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,cn10241,face_collective_setup,compute,0.000152042000025,1,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0
0,cn10241,face_allgatherv,communication,0.046971515,1,0,0,0,0,0,0,233,0,0,0,0,0,0,0,1,1,2429720,4859624
0,cn10241,face_global_merge,compute,0.077321192,1,0,0,0,0,0,0,339,0,0,0,0,0,0,1,0,0,0,0
0,cn10241,part_face_create,compute,0.030806103,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
0,cn10241,surface_refine,compute,0.250158816,1,0,0,0,0,0,0,8856,0,0,0,0,0,0,2,0,0,0,0
0,cn10241,refined_surface_save,io,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,cn10241,local_volume_mesh,compute,279.26271459,1,0,0,0,0,0,0,140552,0,0,0,0,0,499803,6183710,0,0,0,0
0,cn10241,volume_refine,compute,30.843915704,1,0,0,0,0,0,0,754915,0,0,0,0,0,0,267,0,0,0,0
0,cn10241,refined_volume_save,io,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,cn10241,adjacency_build,compute,0.00292275799995,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
