stage,category,time_min_s,time_avg_s,time_max_s,max_over_avg,max_percent_of_total,cache_references_total,cache_misses_total,cache_miss_rate_percent,instructions_total,cycles_total,ipc,minor_faults_total,major_faults_total,rchar_total_bytes,wchar_total_bytes,physical_read_total_bytes,physical_write_total_bytes,send_messages_total,receive_messages_total,send_total_bytes,receive_total_bytes,send_max_rank_bytes,receive_max_rank_bytes
geometry_load,io,1.706580644,1.74064175005,1.836176912,1.05488502269,4.86831053337,0,0,0,0,0,0,746874,0,132491777,0,0,0,0,0,0,0,0,0
coarse_local_size,setup,0.449556909,0.471324967305,0.731276371,1.55153327689,1.93885482193,0,0,0,0,0,0,1061280,0,0,0,0,0,0,0,0,0,0,0
coarse_edge_mesh,setup,0.0120329669999,0.0129050648672,0.0592728809997,4.59299365093,0.15715195471,0,0,0,0,0,0,62463,0,0,0,0,0,0,0,0,0,0,0
coarse_surface_mesh,setup,8.004469605,8.1850168173,8.317195339,1.01614883935,22.0516277121,0,0,0,0,0,0,1909194,0,0,0,0,0,0,0,0,0,0,0
coarse_volume_mesh,setup,13.106375212,13.3409126829,14.256903161,1.06866025585,37.799751962,0,0,0,0,0,0,3227738,0,0,0,0,0,0,0,0,0,0,0
coarse_mesh_save,io,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
submesh_initialization,setup,0.000110400999802,0.000135831523426,0.000190003000171,1.39881373173,0.000503760613183,0,0,0,0,0,0,1940,0,0,0,0,0,0,0,0,0,0,0
metis_partition,compute,0.224530231,0.236600958742,0.326836993,1.38138490536,0.866552653678,0,0,0,0,0,0,91870,0,0,0,0,0,0,0,0,0,0,0
face_map_setup,compute,0.00658863399985,0.00716879224999,0.00783965200026,1.0935805819,0.0207855028355,0,0,0,0,0,0,34369,0,0,0,0,0,0,0,0,0,0,0
face_local_extract,compute,0.150089907,0.158805311219,0.16465946,1.03686368382,0.436566530325,0,0,0,0,0,0,79351,0,0,0,0,0,0,0,0,0,0,0
