experiment,processes,repeat,timestamp,total_wall_avg_s,total_wall_max_s,unprofiled_avg_s,unprofiled_max_s,profile_coverage_percent,setup_avg_s,setup_max_s,compute_avg_s,compute_max_s,postprocess_avg_s,postprocess_max_s,communication_avg_s,communication_max_s,synchronization_avg_s,synchronization_max_s,communication_fraction_avg_percent,communication_fraction_max_percent,io_avg_s,io_max_s,io_fraction_max_percent,io_counter_available_ranks,cache_available_ranks,cache_references_total,cache_misses_total,cache_miss_rate_percent,instructions_total,cycles_total,ipc,minor_faults_total,major_faults_total,logical_read_total_bytes,logical_write_total_bytes,physical_read_total_bytes,physical_write_total_bytes,peak_rss_avg_mib,peak_rss_max_mib,local_volume_elements_avg,local_volume_elements_max,volume_imbalance_max_over_avg,core_only,source_file
strong_scaling_full_io_l2_r2_20260811-160928,1,1,20260811-163811,1713.50233179,1713.50233179,60.656086016,60.656086016,96.4601106815,23.478932929,23.478932929,677.791006612,677.791006612,169.054633849,169.054633849,0.0488278150002,0.0488278150002,2.16000000819e-06,2.16000000819e-06,0.00284971745263,0.00284971745263,782.472842409,782.472842409,45.6651168716,1,0,0,0,0,0,0,0,20044233,23,1036107,7403114037,418713600,7403278336,20856.2148438,20856.2148438,46570944,46570944,1,0,/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/strong_scaling_full_io_l2_r2_20260811-160928/p00001/repeat_01_20260811-163811/run_summary.csv
strong_scaling_full_io_l2_r2_20260811-160928,1,2,20260811-170643,1704.23133376,1704.23133376,58.945670902,58.945670902,96.5412165746,23.632517832,23.632517832,683.945927598,683.945927598,169.039509423,169.039509423,0.0484509499997,0.0484509499997,2.50000039159e-06,2.50000039159e-06,0.00284312634325,0.00284312634325,768.619254559,768.619254559,45.100640936,1,0,0,0,0,0,0,0,12867291,0,1036103,7403114037,10006528,7403204608,20883.2734375,20883.2734375,46570944,46570944,1,0,/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/strong_scaling_full_io_l2_r2_20260811-160928/p00001/repeat_02_20260811-170643/run_summary.csv
strong_scaling_full_io_l2_r2_20260811-160928,1,3,20260811-173533,1722.21661327,1722.21661327,61.528288654,61.528288654,96.4273780557,22.329208861,22.329208861,679.581089342,679.581089342,169.14398762,169.14398762,0.0519611240001,0.0519611240001,2.16000000819e-06,2.16000000819e-06,0.00301723276851,0.00301723276851,789.582075505,789.582075505,45.846850473,1,0,0,0,0,0,0,0,19952388,66,1036093,7403114037,72830976,7403196416,20855.5898438,20855.5898438,46570944,46570944,1,0,/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/strong_scaling_full_io_l2_r2_20260811-160928/p00001/repeat_03_20260811-173533/run_summary.csv
strong_scaling_full_io_l2_r2_20260811-160928,2,1,20260811-162606,978.934012607,992.033977943,36.101153725,42.380430784,96.3121974249,22.6468081095,22.743082523,308.605150329,332.581817167,97.926598776,110.649085156,75.3051912325,115.058035684,0.00261309299998,0.00519884599998,7.69283765357,11.5981978019,438.346497342,496.267899188,50.0252925023,2,0,0,0,0,0,0,0,11675090,27,2071896,8476995424,52387840,8477089792,11513.0898438,12383.9257812,27030848,30363968,1.12330800721,0,/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/strong_scaling_full_io_l2_r2_20260811-160928/p00002/repeat_01_20260811-162606/run_summary.csv
strong_scaling_full_io_l2_r2_20260811-160928,2,2,20260811-164245,978.729606312,991.699344389,33.2866707055,37.227162398,96.5989921536,23.3258059,23.49466601,310.597134755,332.8903547,98.5752944045,111.191078539,74.1617921055,112.223961619,0.0165428595001,0.033056839,7.57904271891,11.3196624656,438.766365582,495.382871161,49.952929178,2,0,0,0,0,0,0,0,9249767,0,2071901,8476995424,10530816,8477093888,11526.4492188,12411.1601562,27030848,30363968,1.12330800721,0,/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/strong_scaling_full_io_l2_r2_20260811-160928/p00002/repeat_02_20260811-164245/run_summary.csv
strong_scaling_full_io_l2_r2_20260811-160928,2,3,20260811-165913,970.170252151,983.04684976,33.543047595,40.22725439,96.5425606979,23.3629875995,23.459931358,310.400298887,331.483373934,98.420070312,110.841925442,77.64519508,118.205821833,0.00430318450003,0.00857990900022,8.00369812332,12.0244369149,426.794349494,482.301254012,49.0618788036,2,0,0,0,0,0,0,0,11945112,0,2071909,8476995424,1261568,8477093888,11524.5722656,12410.0273438,27030848,30363968,1.12330800721,0,/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/strong_scaling_full_io_l2_r2_20260811-160928/p00002/repeat_03_20260811-165913/run_summary.csv
strong_scaling_full_io_l2_r2_20260811-160928,4,1,20260811-161816,505.499362996,522.82164388,15.742884268,20.607261424,96.8856767346,22.8009200845,22.894544869,147.357992341,163.819720225,51.7131232145,60.561275895,61.0219865167,98.585849608,0.00449471000002,0.00884808299998,12.0725139721,18.8565036859,206.857961862,261.294824228,49.9778131389,4,0,0,0,0,0,0,0,6082462,0,4143513,8293368209,233472,8293511168,6220.62597656,8432.48046875,13360288,16995712,1.27210670908,0,/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/strong_scaling_full_io_l2_r2_20260811-160928/p00004/repeat_01_20260811-161816/run_summary.csv
strong_scaling_full_io_l2_r2_20260811-160928,4,2,20260811-162709,513.70416365,529.837195064,15.6964697872,20.473022527,96.9444534621,22.9665614902,23.109726752,148.77126968,164.603799835,51.8742387767,60.323349448,66.3101191738,106.693586259,0.01896386225,0.030194986,12.9119224117,20.140335723,208.066540879,269.730901109,50.9082608057,4,0,0,0,0,0,0,0,7877970,1,4143494,8293368209,16150528,8293527552,6209.703125,8404.31640625,13360288,16995712,1.27210670908,0,/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/strong_scaling_full_io_l2_r2_20260811-160928/p00004/repeat_02_20260811-162709/run_summary.csv
strong_scaling_full_io_l2_r2_20260811-160928,4,3,20260811-163614,524.651360217,540.839447818,16.8807048595,20.846788008,96.782490976,23.1883127983,23.503514065,149.909907299,168.052401414,52.0906525132,60.378608097,66.342245887,104.940155453,0.01048815375,0.0288800140002,12.6470145838,19.4049008626,216.229048707,274.544371437,50.7626380703,4,0,0,0,0,0,0,0,8945558,0,4143587,8293368209,33902592,8293511168,6219.43945312,8429.46875,13360288,16995712,1.27210670908,0,/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/strong_scaling_full_io_l2_r2_20260811-160928/p00004/repeat_03_20260811-163614/run_summary.csv
strong_scaling_full_io_l2_r2_20260811-160928,8,1,20260811-161404,258.187396575,270.272083412,8.49938505688,11.14984325,96.7080557883,22.8527657542,23.91129016,78.4019634094,90.929927196,24.559429907,40.541731708,30.2018669591,62.68176148,0.00638315937499,0.017855901,11.7001257688,23.1960300729,93.6656023287,120.642361285,44.6373742201,8,0,0,0,0,0,0,0,4991855,0,8286951,7424242243,104099840,7424442368,2826.54150391,3341.08203125,6091584,8020864,1.31671236907,0,/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/strong_scaling_full_io_l2_r2_20260811-160928/p00008/repeat_01_20260811-161404/run_summary.csv
strong_scaling_full_io_l2_r2_20260811-160928,8,2,20260811-161839,258.597020837,271.821158103,7.09063654812,9.505494031,97.2580362584,22.1782212704,22.378201052,77.8550593949,90.248407484,25.0668103757,45.18187989,32.8624945114,67.359559731,0.00479210512499,0.011117354,12.7098473564,24.784927544,93.5390066316,124.037126932,45.6318881862,8,0,0,0,0,0,0,0,5365938,0,8286598,7424242243,32768,7424442368,2828.24853516,3347.296875,6091584,8020864,1.31671236907,0,/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/strong_scaling_full_io_l2_r2_20260811-160928/p00008/repeat_02_20260811-161839/run_summary.csv
strong_scaling_full_io_l2_r2_20260811-160928,8,3,20260811-162313,258.89353914,272.388391957,7.545545178,10.196558169,97.0854640857,22.1696825378,22.342484029,77.8366464646,90.196376592,24.7820873835,42.47593802,31.9663752594,64.998664931,0.00843800062503,0.0250262320001,12.3505643927,23.8625067698,94.5847643157,122.824964488,45.0918497685,8,0,0,0,0,0,0,0,6073326,0,8286608,7424242243,98304,7424446464,2825.71582031,3340.7890625,6091584,8020864,1.31671236907,0,/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/strong_scaling_full_io_l2_r2_20260811-160928/p00008/repeat_03_20260811-162313/run_summary.csv
strong_scaling_full_io_l2_r2_20260811-160928,16,1,20260811-161155,140.470829346,143.137001849,3.35653892219,3.761555535,97.6105082188,22.0413487871,22.209952991,41.9665111788,51.301668473,11.6252363128,15.434164001,16.4581935932,37.624330871,0.05561854325,0.0648755579999,11.7560437375,26.3283718132,44.9673820091,53.279368339,37.2226382073,16,0,0,0,0,0,0,0,4856956,0,16572916,7171146724,167936,7171510272,1475.66918945,1702.765625,2953740,3571520,1.20915178723,0,/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/strong_scaling_full_io_l2_r2_20260811-160928/p00016/repeat_01_20260811-161155/run_summary.csv
strong_scaling_full_io_l2_r2_20260811-160928,16,2,20260811-161420,141.338866451,143.94656325,3.91132485881,4.530763111,97.2326615056,22.2804439021,22.785623019,42.1926391328,50.946302604,11.7138655684,15.581617199,16.0974363616,37.506188423,0.0185279914375,0.0370091020001,11.4023585711,26.0736839905,45.1246286361,53.717313099,37.3175377628,16,0,0,0,0,0,0,0,4710634,0,16572882,7171146724,61440,7171510272,1477.31713867,1708.22265625,2953740,3571520,1.20915178723,0,/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/strong_scaling_full_io_l2_r2_20260811-160928/p00016/repeat_02_20260811-161420/run_summary.csv
strong_scaling_full_io_l2_r2_20260811-160928,16,3,20260811-161645,140.826574072,143.404613136,3.63763043488,4.124531205,97.4169431737,22.1705496754,22.577109245,41.77776053,50.871945795,11.4903948801,15.269794383,16.6164537922,37.406070811,0.0103383716875,0.019528295,11.8065729238,26.0950730996,45.123446388,53.528369267,37.3268112486,16,0,0,0,0,0,0,0,4863651,0,16572881,7171146724,61440,7171514368,1475.87207031,1710.140625,2953740,3571520,1.20915178723,0,/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/strong_scaling_full_io_l2_r2_20260811-160928/p00016/repeat_03_20260811-161645/run_summary.csv
strong_scaling_full_io_l2_r2_20260811-160928,32,1,20260811-161103,87.9860812438,91.230704362,2.89835862544,3.486010251,96.7058896311,22.1039593273,23.144438739,22.8034339489,29.153540419,5.73474477466,8.142112693,10.9766158293,20.806838796,0.0387050293125,0.056814379,12.5193902295,22.8494579525,23.4302637089,29.67260268,32.5247984081,32,0,0,0,0,0,0,0,6411024,0,33145473,7192540711,237568,7193264128,825.717529297,966.15625,1482478,1918144,1.29387687372,0,/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/strong_scaling_full_io_l2_r2_20260811-160928/p00032/repeat_01_20260811-161103/run_summary.csv
