experiment,processes,repetitions,stage,category,time_avg_s,time_max_s,max_over_avg,max_percent_of_total,cache_valid_repetitions,cache_miss_rate_percent,ipc,io_valid_repetitions,minor_faults_total,major_faults_total,logical_read_total_bytes,logical_write_total_bytes,physical_read_total_bytes,physical_write_total_bytes,send_messages_total,receive_messages_total,send_total_bytes,receive_total_bytes,send_max_rank_bytes,receive_max_rank_bytes
strong_scaling_full_io_l2_r2_20260811-160928,1,3,adjacency_build,compute,0.00247074599997,0.00247074599997,1.0,0.000144736512646,0,nan,nan,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
strong_scaling_full_io_l2_r2_20260811-160928,1,3,coarse_edge_mesh,setup,0.0155226639999,0.0155226639999,1.0,0.000910830806382,0,nan,nan,3,522.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
strong_scaling_full_io_l2_r2_20260811-160928,1,3,coarse_local_size,setup,0.535516047,0.535516047,1.0,0.0314227321368,0,nan,nan,3,8005.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
strong_scaling_full_io_l2_r2_20260811-160928,1,3,coarse_mesh_save,io,0.326029286,0.326029286,1.0,0.0191305769082,0,nan,nan,3,918.0,0.0,113.0,3191042.0,540672.0,3194880.0,0.0,0.0,0.0,0.0,0.0,0.0
strong_scaling_full_io_l2_r2_20260811-160928,1,3,coarse_surface_mesh,setup,8.692756704,8.692756704,1.0,0.507309301115,0,nan,nan,3,17274.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
strong_scaling_full_io_l2_r2_20260811-160928,1,3,coarse_volume_mesh,setup,14.199310637,14.199310637,1.0,0.828671801232,0,nan,nan,3,30774.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
strong_scaling_full_io_l2_r2_20260811-160928,1,3,element_count_allgather,communication,8.73999988471e-06,8.73999988471e-06,1.0,5.07485517059e-07,0,nan,nan,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,4.0,4.0,4.0
strong_scaling_full_io_l2_r2_20260811-160928,1,3,face_allgatherv,communication,0.0483289479998,0.0483289479998,1.0,0.00283582087962,0,nan,nan,3,738.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4859624.0,4859624.0,4859624.0,4859624.0
strong_scaling_full_io_l2_r2_20260811-160928,1,3,face_collective_setup,compute,0.000163661999977,0.000163661999977,1.0,9.6032737302e-06,0,nan,nan,3,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
strong_scaling_full_io_l2_r2_20260811-160928,1,3,face_global_merge,compute,0.0801755450001,0.0801755450001,1.0,0.00467904498947,0,nan,nan,3,294.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
