stage,category,time_min_s,time_avg_s,time_max_s,max_over_avg,max_percent_of_total,cache_references_total,cache_misses_total,cache_miss_rate_percent,instructions_total,cycles_total,ipc,minor_faults_total,major_faults_total,rchar_total_bytes,wchar_total_bytes,physical_read_total_bytes,physical_write_total_bytes,send_messages_total,receive_messages_total,send_total_bytes,receive_total_bytes,send_max_rank_bytes,receive_max_rank_bytes
geometry_load,io,1.777013738,2.003173205,2.229332672,1.11290060512,0.224799248342,0,0,0,0,0,0,13398,0,2070192,0,10518528,0,0,0,0,0,0,0
coarse_local_size,setup,0.460481155,0.5018207445,0.543160334,1.08237919606,0.0547706658347,0,0,0,0,0,0,15346,0,0,0,0,0,0,0,0,0,0,0
coarse_edge_mesh,setup,0.012360896,0.0137096335001,0.0150583710001,1.09837881516,0.00151844115712,0,0,0,0,0,0,1004,0,0,0,0,0,0,0,0,0,0,0
coarse_surface_mesh,setup,8.244262566,8.535590766,8.826918966,1.03413099433,0.890080145353,0,0,0,0,0,0,29264,0,0,0,0,0,0,0,0,0,0,0
coarse_volume_mesh,setup,14.109408777,14.274565274,14.439721771,1.01156998436,1.45605841657,0,0,0,0,0,0,59436,0,0,0,0,0,0,0,0,0,0,0
coarse_mesh_save,io,0,0.1374358515,0.274871703,2,0.0277172415768,0,0,0,0,0,0,352,0,106,3191042,0,3194880,0,0,0,0,0,0
submesh_initialization,setup,0.000119402000109,0.000119481999945,0.000119561999782,1.00066955555,1.20562749646e-05,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
metis_partition,compute,0.107222679,0.117562679,0.127902679,1.08795308246,0.012897324146,0,0,0,0,0,0,518,0,0,0,0,0,0,0,0,0,0,0
face_map_setup,compute,0.00672410499988,0.00706902949992,0.00741395399996,1.04879375592,0.000747600978251,0,0,0,0,0,0,220,0,0,0,0,0,0,0,0,0,0,0
face_local_extract,compute,0.163542013,0.16898539,0.174428767,1.03221211609,0.0175888759014,0,0,0,0,0,0,829,0,0,0,0,0,0,0,0,0,0,0
face_pre_collective_wait,synchronization,2.88800001726e-05,0.0165428595001,0.033056839,1.99825423167,0.00333335291457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
face_collective_setup,compute,0.000144702000171,0.000148462000084,0.000152221999997,1.02532634554,1.53496118414e-05,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0
