rank,host,stage,category,time_s,calls,cache_references,cache_misses,cache_miss_rate_percent,instructions,cycles,ipc,minor_faults,major_faults,rchar_bytes,wchar_bytes,physical_read_bytes,physical_write_bytes,voluntary_context_switches,involuntary_context_switches,send_messages,receive_messages,send_bytes,receive_bytes
0,cn4550,geometry_load,io,1.734414854,1,0,0,0,0,0,0,4877,0,1035093,0,0,0,2,20,0,0,0,0
0,cn4550,coarse_local_size,setup,0.460408254,1,0,0,0,0,0,0,10007,0,0,0,0,0,105,65,0,0,0,0
0,cn4550,coarse_edge_mesh,setup,0.01267938,1,0,0,0,0,0,0,536,0,0,0,0,0,0,0,0,0,0,0
0,cn4550,coarse_surface_mesh,setup,8.228161176,1,0,0,0,0,0,0,18216,0,0,0,0,0,0,85,0,0,0,0
0,cn4550,coarse_volume_mesh,setup,14.108129134,1,0,0,0,0,0,0,23736,0,0,0,0,0,83969,2736732,0,0,0,0
0,cn4550,coarse_mesh_save,io,0.290289119,1,0,0,0,0,0,0,3005,0,106,3191042,106496,3194880,10,6,0,0,0,0
0,cn4550,submesh_initialization,setup,0.000122660999978,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
0,cn4550,metis_partition,compute,0.117794698,1,0,0,0,0,0,0,311,0,0,0,0,0,0,2,0,0,0,0
0,cn4550,face_map_setup,compute,0.00725148000004,1,0,0,0,0,0,0,211,0,0,0,0,0,0,0,0,0,0,0
0,cn4550,face_local_extract,compute,0.170219376,1,0,0,0,0,0,0,940,0,0,0,0,0,0,2,0,0,0,0
0,cn4550,face_pre_collective_wait,synchronization,3.29409999722e-05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,cn4550,face_collective_setup,compute,0.000155681000024,1,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0
0,cn4550,face_allgatherv,communication,0.0569129869999,1,0,0,0,0,0,0,851,0,0,0,0,0,0,0,1,1,1214768,4859624
0,cn4550,face_global_merge,compute,0.0784868649999,1,0,0,0,0,0,0,544,0,0,0,0,0,0,1,0,0,0,0
0,cn4550,part_face_create,compute,0.024020805,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
0,cn4550,surface_refine,compute,0.135620075,1,0,0,0,0,0,0,4056,0,0,0,0,0,0,1,0,0,0,0
0,cn4550,refined_surface_save,io,0.202177828,1,0,0,0,0,0,0,0,0,118,3307054,0,3309568,4,2,0,0,0,0
0,cn4550,local_volume_mesh,compute,94.259987019,1,0,0,0,0,0,0,81316,0,0,0,0,0,211107,5586074,0,0,0,0
0,cn4550,volume_refine,compute,16.76295951,1,0,0,0,0,0,0,186075,0,0,0,0,0,1,172,0,0,0,0
0,cn4550,refined_volume_save,io,30.32532879,1,0,0,0,0,0,0,8,0,119,650311855,0,650317824,6,658,0,0,0,0
0,cn4550,adjacency_build,compute,0.00296845299999,1,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0
0,cn4550,vertex_numbering_local,compute,0.120980693,1,0,0,0,0,0,0,12742,0,0,0,0,0,0,1,0,0,0,0
0,cn4550,vertex_count_allgather,communication,43.442672805,1,0,0,0,0,0,0,31,0,0,0,0,0,0,446,1,1,4,16
0,cn4550,element_count_allgather,communication,0.00237564600002,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,4,16
0,cn4550,vertex_exchange_prepare,compute,5.54000007469e-06,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,cn4550,vertex_exchange,communication,0.0133690270001,1,0,0,0,0,0,0,121,0,0,0,0,0,0,1,2,0,274604,0
0,cn4550,vertex_exchange_unpack,compute,1.06000004507e-06,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,cn4550,partition_result_io,io,141.918931673,1,0,0,0,0,0,0,826107,0,123,705671491,0,705683456,18,1457,0,0,0,0
0,cn4550,volume_exchange_pack,compute,3.643537413,2,0,0,0,0,0,0,18650,0,0,0,0,0,0,33,0,0,0,0
0,cn4550,volume_size_exchange,communication,43.153563012,1,0,0,0,0,0,0,5,0,0,0,0,0,0,375,2,2,8,8
0,cn4550,volume_payload_prepare,compute,0.000252423000006,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,cn4550,volume_payload_exchange,communication,0.00143679600001,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,2,2940480,2925360
