processes,mode,state,compute_exit_code,analysis_state,analysis_exit_code,result_available,valid_repetitions,expected_repetitions
1,core_timing,COMPLETED,0,ANALYZED,0,1,6,6
1,core_cache,COMPLETED,0,ANALYZED,0,1,6,6
1,full_io,COMPLETED,0,ANALYZED,0,1,6,6
8,core_timing,COMPLETED,0,ANALYZED,0,1,6,6
8,core_cache,COMPLETED,0,ANALYZED,0,1,6,6
8,full_io,COMPLETED,0,ANALYZED,0,1,6,6
16,core_timing,COMPLETED,0,ANALYZED,0,1,6,6
16,core_cache,COMPLETED,0,ANALYZED,0,1,6,6
16,full_io,COMPLETED,0,ANALYZED,0,1,6,6
32,core_timing,COMPLETED,0,ANALYZED,0,1,6,6
32,core_cache,COMPLETED,0,ANALYZED,0,1,6,6
32,full_io,COMPLETED,0,ANALYZED,0,1,6,6
64,core_timing,COMPLETED,0,ANALYZED,0,1,6,6
64,core_cache,COMPLETED,0,ANALYZED,0,1,6,6
64,full_io,COMPLETED,0,ANALYZED,0,1,6,6
128,core_timing,COMPLETED,0,ANALYZED,0,1,6,6
128,core_cache,COMPLETED,0,ANALYZED,0,1,6,6
128,full_io,FAILED,139,ANALYZED,0,1,1,6
256,core_timing,COMPLETED,0,ANALYZED,0,1,6,6
256,core_cache,COMPLETED,0,ANALYZED,0,1,6,6
256,full_io,FAILED,139,ANALYZED,0,1,2,6
