stage,category,time_min_s,time_avg_s,time_max_s,max_over_avg,max_percent_of_total,cache_references_total,cache_misses_total,cache_miss_rate_percent,instructions_total,cycles_total,ipc,minor_faults_total,major_faults_total,rchar_total_bytes,wchar_total_bytes,physical_read_total_bytes,physical_write_total_bytes,send_messages_total,receive_messages_total,send_total_bytes,receive_total_bytes,send_max_rank_bytes,receive_max_rank_bytes
geometry_load,io,1.777225411,1.777225411,1.777225411,1,0.247141919566,1402553315,20959263,1.49436479711,3316881389,3771399167,0.879482982874,4972,0,1035187,0,1335296,0,0,0,0,0,0,0
coarse_local_size,setup,0.467874103,0.467874103,0.467874103,1,0.0650628238911,267498362,5991269,2.23974044372,632095985,893845903,0.707164381331,10053,0,0,0,0,0,0,0,0,0,0,0
coarse_edge_mesh,setup,0.012633885,0.012633885,0.012633885,1,0.00175687482924,6285069,169653,2.6993021079,12751689,24693620,0.516396097454,525,0,0,0,0,0,0,0,0,0,0,0
coarse_surface_mesh,setup,8.200969762,8.200969762,8.200969762,1,1.14043125691,5669567604,164159521,2.89545045524,15311741972,17864148562,0.857121285062,14139,0,0,0,0,0,0,0,0,0,0,0
coarse_volume_mesh,setup,13.858271527,13.858271527,13.858271527,1,1.92713867687,5251089582,125413133,2.38832590916,13306576301,21006942322,0.633437084609,21578,0,0,0,0,0,0,0,0,0,0,0
coarse_mesh_save,io,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
submesh_initialization,setup,0.00013004099992,0.00013004099992,0.00013004099992,1,1.80835712474e-05,3870581408,104978519,2.71221576126,9556551166,15789401296,0.605251015339,1,0,0,0,0,0,0,0,0,0,0,0
metis_partition,compute,0.0808470460001,0.0808470460001,0.0808470460001,1,0.0112426336108,3918777557,109383989,2.79127833639,9670098122,15966356537,0.605654652619,38,0,0,0,0,0,0,0,0,0,0,0
face_map_setup,compute,0.00683953899988,0.00683953899988,0.00683953899988,1,0.000951109964395,3873612153,105041460,2.71171856787,9564449926,15803936258,0.605194159851,74,0,0,0,0,0,0,0,0,0,0,0
face_local_extract,compute,0.174738943,0.174738943,0.174738943,1,0.0242992912034,3951066616,107331553,2.71652096589,9765529670,16170528701,0.603909114573,779,0,0,0,0,0,0,0,0,0,0,0
face_pre_collective_wait,synchronization,1.27999965116e-06,1.27999965116e-06,1.27999965116e-06,1,1.7799743852e-07,3870495276,104973910,2.71215703713,9556394383,15789156504,0.605250469243,0,0,0,0,0,0,0,0,0,0,0,0
face_collective_setup,compute,0.000154481999743,0.000154481999743,0.000154481999743,1,2.14823498014e-05,3870501605,104974971,2.71218001471,9556405991,15789308662,0.605245371762,16,0,0,0,0,0,0,0,0,0,0,0
face_allgatherv,communication,0.0468391169998,0.0468391169998,0.0468391169998,1,0.00651347275053,3979680440,105273140,2.64526616112,9768493983,15886910021,0.614876899919,738,0,0,0,0,0,1,1,4859624,4859624,4859624,4859624
