experiment,processes,repetitions,stage,category,time_avg_s,time_max_s,time_p50_s,time_p95_s,time_p99_s,max_over_avg,max_percent_of_total,cache_valid_repetitions,cache_miss_rate_percent,ipc,io_valid_repetitions,minor_faults_total,major_faults_total,logical_read_total_bytes,logical_write_total_bytes,physical_read_total_bytes,physical_write_total_bytes,send_messages_total,receive_messages_total,send_total_bytes,receive_total_bytes,send_max_rank_bytes,receive_max_rank_bytes,send_messages_avg,send_messages_p95,send_messages_p99,send_messages_max,receive_messages_avg,receive_messages_p95,receive_messages_p99,receive_messages_max,send_bytes_avg,send_bytes_p95,send_bytes_p99,receive_bytes_avg,receive_bytes_p95,receive_bytes_p99
full_io,1024,6,adjacency_build,compute,0.007286912861815,0.01892491800005,0.007139994249885,0.00816988040008,0.0110469294101,2.593317483825,0.01317100586105,0,nan,nan,6,458947.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
full_io,1024,6,coarse_edge_mesh,setup,0.01529694482275,0.0256615610001,0.0147486905,0.0190261957251,0.02013679041985,1.6932799371349998,0.0188327160093,0,nan,nan,6,568626.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
full_io,1024,6,coarse_local_size,setup,0.481205306329,1.1364560475,0.45948603675,0.563813398375,1.10571857646,2.511815425115,0.8917590028365,0,nan,nan,6,5076144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
full_io,1024,6,coarse_mesh_save,io,0.00028964597705100005,0.2965974805,0.0,0.0,0.0,1024.0,0.2104768355295,0,nan,nan,6,804.0,0.0,111.0,3191042.0,192512.0,3194880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
full_io,1024,6,coarse_surface_mesh,setup,8.784480746745,9.197686346000001,8.75534235725,8.949533576050001,9.042834859700001,1.048765714275,7.0065134877599995,0,nan,nan,6,14147929.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
full_io,1024,6,coarse_volume_mesh,setup,14.087424548600001,15.26837432,14.054838150750001,14.40880106925,14.7601633899,1.08455307322,10.9708056224,0,nan,nan,6,22649648.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
full_io,1024,6,element_count_allgather,communication,0.002782270459475,0.00561096700017,0.0037314445000900002,0.0046848339249,0.005214035945005,2.47219216083,0.004230759080255,0,nan,nan,6,10755.0,0.0,0.0,0.0,0.0,0.0,1024.0,1024.0,4096.0,4194304.0,4.0,4096.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,4096.0,4096.0,4096.0
full_io,1024,6,element_count_pre_collective_wait,synchronization,0.01536850720898,0.02790545899985,0.013860518749799999,0.02406329645005,0.02761909150985,1.747230971525,0.019970970029,0,nan,nan,6,2432.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
full_io,1024,6,face_allgatherv,communication,0.459420365961,0.8515954555,0.45569131325,0.81443206415,0.845195712715,1.8546586764600002,0.610434593378,0,nan,nan,6,980695.0,0.0,0.0,0.0,0.0,0.0,1024.0,1024.0,4859624.0,4976254976.0,153824.0,4859624.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4745.7265625,4600.0,4600.0,4859624.0,4859624.0,4859624.0
full_io,1024,6,face_collective_setup,compute,0.000314102127936,0.012387456999925,9.90109999748e-05,0.0008286069249495,0.00528226892011,38.684975393100004,0.00865263582017,0,nan,nan,6,16663.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
full_io,1024,6,face_global_merge,compute,0.08591377160595,0.1113613965,0.08558588124995001,0.08968162592505,0.09065996642995,1.2948782520850002,0.0751934110616,0,nan,nan,6,328768.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
full_io,1024,6,face_local_extract,compute,0.171126857446,0.1882266255,0.17074980925,0.17893614087499998,0.18066318788000002,1.0999801166149998,0.131607683727,0,nan,nan,6,484981.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
full_io,1024,6,face_map_setup,compute,0.008110973871584999,0.01045348499995,0.008137984499855,0.008759035750235001,0.009063876990079999,1.300466460845,0.007534857346335,0,nan,nan,6,383393.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
full_io,1024,6,face_pre_collective_wait,synchronization,0.10607628366454999,0.162493575,0.10703215475005,0.130189782325,0.14774061269,1.534876711965,0.12478759382099999,0,nan,nan,6,24689.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
full_io,1024,6,final_count_exchange,communication,0.9003750872215,9.99373444,0.00039636425003650004,4.93645031985,8.03678168004,10.90500312715,7.28841357408,0,nan,nan,6,55927.0,32.5,0.0,0.0,0.0,0.0,3069.0,3069.0,24552.0,24552.0,24.0,24552.0,2.9970703125,3.0,3.0,3.0,2.9970703125,0.0,0.0,3069.0,23.9765625,24.0,24.0,23.9765625,0.0,0.0
full_io,1024,6,final_mesh_save,io,6.655211490935,15.975442985499999,6.4506387735,9.0480531563,12.38196492785,2.19665142793,11.04789850317,0,nan,nan,6,1343974.0,1211.5,128970.5,116599293647.0,1273188352.0,116614981632.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
full_io,1024,6,geometry_load,io,2.05232051701,5.156832681999999,1.9988298537500002,2.161729506625,5.14183470282,2.50205351209,3.667589580855,0,nan,nan,6,5969160.5,0.0,1059939365.5,0.0,625219584.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
full_io,1024,6,local_volume_mesh,compute,7.74010098875,10.7168440825,7.62536372125,9.024413455925,9.50158676495,1.38651338562,7.64814870072,0,nan,nan,6,3038978.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
full_io,1024,6,metis_partition,compute,1.3104362106099998,1.406425274,1.30908077575,1.33516507185,1.3603677955500002,1.07337393455,0.9904553970365,0,nan,nan,6,2246938.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
full_io,1024,6,part_face_create,compute,0.023770696121600002,0.03157605549975,0.02339513125005,0.0258078304502,0.0266233566651,1.33081478433,0.0225375726722,0,nan,nan,6,29584.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
full_io,1024,6,partition_result_io,io,24.88573202535,39.495878137,23.68850535875,32.607932672,35.0412778694,1.56955097116,30.0848262873,0,nan,nan,6,165443054.0,2665.5,125815.0,154207161220.0,2880362496.0,154278985728.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
full_io,1024,6,quality_rank_io,io,0.02051610541795,0.5356799345000001,0.0150043295,0.03859729875,0.0580448235099,20.573074417,0.3839375493685,0,nan,nan,6,18577.5,0.0,129119.0,890405.0,12122112.0,4194304.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
full_io,1024,6,quality_reduce,communication,0.0007263564316425,0.00339747399994,0.00021747724997549998,0.00180665350001,0.003108172555025,4.59843921787,0.00227202975257,0,nan,nan,6,3890.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
full_io,1024,6,quality_reduce_pre_collective_wait,synchronization,7.593648229275,12.223289757,7.245076448,10.6785847146,11.4800342851,1.6200204603750001,8.39223724312,0,nan,nan,6,18213.5,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
full_io,1024,6,quality_summary_io,io,1.0558964355320001e-05,0.010812379499845,0.0,0.0,0.0,1024.0,0.00712491935772,0,nan,nan,6,0.0,0.0,126.0,208.0,0.0,4096.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
full_io,1024,6,quality_surface_compute,postprocess,0.12526811057999998,0.45874618850000004,0.1239240255,0.14793369377499999,0.19700259207999998,3.57659804818,0.3268586023465,0,nan,nan,6,19533.5,20.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
full_io,1024,6,quality_volume_compute,postprocess,8.412817189655001,12.7383273465,8.38266828675,10.26966301785,10.91686799465,1.514492489085,9.124677710745,0,nan,nan,6,2135313.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
full_io,1024,6,refined_surface_save,io,0.02548438129345,0.08328152050015,0.021543992249799998,0.041945514525000005,0.0569510161102,3.4711607508,0.06354213670105,0,nan,nan,6,16974.5,0.0,113004.5,175149025.0,18432.0,177799168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
full_io,1024,6,refined_volume_save,io,6.2913576899949994,16.345078002,5.831584879,10.547114880675,13.43482692398,2.33888047884,11.152007302385,0,nan,nan,6,524487.0,1.5,119143.0,111046373419.0,368640.0,111058511872.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
full_io,1024,6,submesh_initialization,setup,0.000237674184078,0.0006124479998565,0.00021095250008349998,0.00037148642497849996,0.0004489449851985,2.598928448955,0.000438174896359,0,nan,nan,6,31393.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
full_io,1024,6,surface_refine,compute,0.009989404775394999,0.01550147199985,0.01011881800015,0.011998135725,0.012730940405,1.55181825549,0.01188974427625,0,nan,nan,6,11204.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
